Timestamp,日本在住ですか？,どのようなチームで働いていますか？,日本のどの地域にお住まいですか？,御社の社員数はどのくらいですか？,どの業界でお仕事されていますか？,あなたはオブザーバビリティまたはAPM（監視）ベンダーで働いていますか？
12/12/2025,はい,開発,中部（山梨、長野、新潟、富山、石川、福井、静岡、愛知、岐阜）,100-999,IT,いいえ
12/12/2025,はい,SRE,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,100-999,IT,いいえ
12/12/2025,はい,開発,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,>1000,IT,いいえ
12/13/2025,はい,SRE,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,50-99,金融,いいえ
12/13/2025,はい,プラットフォームエンジニア,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,50-99,IT,いいえ
12/13/2025,はい,プラットフォームエンジニア,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,100-999,IT,いいえ
12/13/2025,はい,プラットフォームエンジニア,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,100-999,IT,いいえ
12/13/2025,はい,セールスエンジニア,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,100-999,IT,はい
12/13/2025,はい,運用,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,100-999,IT,はい
12/13/2025,はい,DevOps,近畿（三重、滋賀、京都、大阪、兵庫、奈良、和歌山）,>1000,製造,いいえ
12/15/2025,はい,開発,北海道,100-999,IT,いいえ
12/16/2025,はい,DevOps,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,>1000,自動車,いいえ
12/16/2025,はい,開発,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,100-999,IT,いいえ
12/16/2025,はい,開発,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,100-999,IT,いいえ
12/16/2025,はい,開発,近畿（三重、滋賀、京都、大阪、兵庫、奈良、和歌山）,100-999,IT,いいえ
12/16/2025,はい,開発,近畿（三重、滋賀、京都、大阪、兵庫、奈良、和歌山）,>1000,IT,いいえ
12/16/2025,はい,開発,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,100-999,IT,いいえ
12/16/2025,はい,開発,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,1-49,IT,いいえ
12/16/2025,はい,開発,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,100-999,IT,いいえ
12/16/2025,はい,DevOps,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,100-999,広告,いいえ
12/16/2025,はい,開発,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,100-999,IT,いいえ
12/16/2025,はい,開発,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,100-999,IT,いいえ
12/16/2025,はい,プラットフォームエンジニア,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,100-999,IT,いいえ
12/16/2025,はい,SRE,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,1-49,IT,いいえ
12/16/2025,はい,開発,近畿（三重、滋賀、京都、大阪、兵庫、奈良、和歌山）,100-999,IT,はい
12/16/2025,はい,SRE,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,100-999,IT,いいえ
12/17/2025,はい,SRE,近畿（三重、滋賀、京都、大阪、兵庫、奈良、和歌山）,100-999,IT,はい
12/17/2025,はい,セールスエンジニア,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,1-49,IT,はい
12/17/2025,はい,SRE,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,100-999,IT,いいえ
12/17/2025,はい,開発,近畿（三重、滋賀、京都、大阪、兵庫、奈良、和歌山）,>1000,IT,いいえ
12/17/2025,はい,SRE,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,>1000,IT,はい
12/17/2025,はい,開発,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,100-999,IT,いいえ
12/17/2025,はい,プラットフォームエンジニア,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,100-999,IT,いいえ
12/17/2025,はい,SRE,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,>1000,IT,はい
12/17/2025,はい,開発,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,1-49,IT,いいえ
12/17/2025,はい,DevOps,近畿（三重、滋賀、京都、大阪、兵庫、奈良、和歌山）,>1000,IT,いいえ
12/17/2025,はい,開発,九州・沖縄（福岡、佐賀、長崎、熊本、大分、宮崎、鹿児島、沖縄）,>1000,IT,いいえ
12/17/2025,はい,開発,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,>1000,IT,いいえ
12/17/2025,はい,開発,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,>1000,IT,いいえ
12/18/2025,はい,開発,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,1-49,IT,いいえ
12/18/2025,はい,SRE,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,100-999,IT,いいえ
12/18/2025,はい,開発,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,1-49,IT,いいえ
12/18/2025,はい,SRE,北海道,>1000,IT,いいえ
12/19/2025,はい,セールスエンジニア,近畿（三重、滋賀、京都、大阪、兵庫、奈良、和歌山）,>1000,IT,はい
12/24/2025,はい,SRE,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,100-999,IT,いいえ
12/25/2025,はい,開発,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,1-49,IT,いいえ
12/26/2025,はい,プラットフォームエンジニア,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,>1000,IT,はい
12/26/2025,はい,開発,近畿（三重、滋賀、京都、大阪、兵庫、奈良、和歌山）,>1000,IT,はい
1/8/2026,はい,プラットフォームエンジニア,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,>1000,IT,いいえ
1/9/2026,はい,DevOps,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,>1000,IT,いいえ
1/10/2026,はい,セールスエンジニア,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,>1000,IT,はい
1/11/2026,はい,開発,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,>1000,IT,いいえ
1/15/2026,はい,SRE,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,100-999,IT,いいえ
1/15/2026,はい,SRE,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,1-49,IT,いいえ
1/15/2026,はい,開発,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,100-999,IT,いいえ
1/15/2026,はい,開発,,,,
1/15/2026,はい,DevOps,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,>1000,IT,いいえ
1/15/2026,はい,開発,近畿（三重、滋賀、京都、大阪、兵庫、奈良、和歌山）,100-999,IT,いいえ
1/15/2026,はい,DevOps,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,50-99,IT,いいえ
1/15/2026,はい,その他,,,,
1/15/2026,はい,DevOps,近畿（三重、滋賀、京都、大阪、兵庫、奈良、和歌山）,1-49,IT,いいえ
1/15/2026,はい,開発,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,>1000,自動車,いいえ
1/15/2026,はい,SRE,九州・沖縄（福岡、佐賀、長崎、熊本、大分、宮崎、鹿児島、沖縄）,50-99,IT,いいえ
1/15/2026,はい,SRE,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,>1000,IT,いいえ
1/15/2026,はい,開発,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,50-99,IT,いいえ
1/15/2026,はい,その他,,,,
1/15/2026,はい,SRE,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,>1000,IT,いいえ
1/15/2026,はい,その他,,,,
1/15/2026,はい,SRE,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,>1000,メディア,いいえ
1/15/2026,はい,運用,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,100-999,金融,いいえ
1/15/2026,はい,運用,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,>1000,製造,いいえ
1/15/2026,はい,運用,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,>1000,IT,いいえ
1/15/2026,はい,プラットフォームエンジニア,近畿（三重、滋賀、京都、大阪、兵庫、奈良、和歌山）,>1000,IT,いいえ
1/15/2026,はい,DevOps,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,100-999,金融,いいえ
1/15/2026,はい,開発,中国（鳥取、島根、岡山、広島、山口）,>1000,IT,いいえ
1/15/2026,はい,開発,中部（山梨、長野、新潟、富山、石川、福井、静岡、愛知、岐阜）,100-999,金融,いいえ
1/15/2026,はい,SRE,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,100-999,IT,いいえ
1/15/2026,はい,開発,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,100-999,IT,いいえ
1/15/2026,はい,開発,九州・沖縄（福岡、佐賀、長崎、熊本、大分、宮崎、鹿児島、沖縄）,1-49,IT,いいえ
1/15/2026,はい,開発,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,1-49,IT,いいえ
1/15/2026,はい,開発,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,100-999,ヘルスケア,いいえ
1/15/2026,はい,SRE,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,1-49,IT,いいえ
1/15/2026,はい,開発,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,1-49,IT,はい
1/15/2026,はい,オブザーバビリティ,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,>1000,IT,いいえ
1/16/2026,はい,SRE,九州・沖縄（福岡、佐賀、長崎、熊本、大分、宮崎、鹿児島、沖縄）,100-999,小売,いいえ
1/17/2026,はい,開発,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,1-49,IT,いいえ
1/20/2026,はい,開発,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,100-999,ヘルスケア,いいえ
