Timestamp,How many Collectors do you run in your organization?,Where do you deploy your Collectors?,What deployment scenarios do you use your Collectors in?,How do you deploy the OTel Collector on Kubernetes??,Do you build your own Collector distribution?,Do you use the OTel Collector Builder to build your own OTel Collector distribution?,How easy do you find it to build your own OTel Collector distributions with the Collector Builder?,How do you monitor your Collector?,Which of the following Exporters do you use?,Which of the following receivers from do you use?,Which of the following processors do you use?,Which of the following connectors do you use?,Which of the following extensions do you use?,What kind of improvement would you most like to see for the Collector?
1-31-2024 13:38:57,More than 10,Kubernetes,"On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment)",OTel Collector Helm Chart,Yes,Yes,It's easy to use. I love it!,Collector metrics,"clickhouseexporter, debugexporter, kafkaexporter, otlpexporter","filelogreceiver, k8sclusterreceiver, k8seventsreceiver, k8sobjectsreceiver, kafkareceiver, otlpreceiver, prometheusreceiver","attributesprocessor, batchprocessor, filterprocessor, logstransformprocessor","countconnector, servicegraphconnector, spanmetricsconnector","bearertokenauthextension, headerssetterextension, healthcheckextension",Stability
1-31-2024 13:43:12,More than 10,Kubernetes,As a gateway (i.e. k8s deployment),OTel Collector Helm Chart,No,No,I don't use it,Collector metrics,"datadogexporter, debugexporter, otlpexporter, prometheusexporter",otlpreceiver,"attributesprocessor, batchprocessor, filterprocessor",spanmetricsconnector,basicauthextension,Stability
1-31-2024 13:44:13,Between 2 and 5,Kubernetes,As a gateway (i.e. k8s deployment),My own manifests,Yes,Yes,It's easy to use. I love it!,Collector metrics,"dynatraceexporter, kafkaexporter, lokiexporter, otlpexporter, prometheusremotewriteexporter","otlpreceiver, prometheusreceiver","attributesprocessor, batchprocessor, filterprocessor, k8sattributesprocessor, memorylimiterprocessor, spanmetricsprocessor, tailsamplingprocessor",spanmetricsconnector,healthcheckextension,Configuration management and resolution
1-31-2024 13:48:00,More than 10,Kubernetes,"On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment), In a stateful scenario (ie k8s statefulset)",My own manifests,No,No,I don't use it,Collector metrics,"googlecloudexporter, otlpexporter","filelogreceiver, k8sclusterreceiver, k8seventsreceiver, k8sobjectsreceiver, otlpreceiver, prometheusreceiver, receivercreator","attributesprocessor, batchprocessor, filterprocessor, groupbyattrsprocessor, groupbytraceprocessor, k8sattributesprocessor, logstransformprocessor, memorylimiterprocessor, resourcedetectionprocessor, resourceprocessor, spanprocessor, transformprocessor",routingconnector,"basicauthextension, healthcheckextension, httpforwarder, oauth2clientauthextension, observer, oidcauthextension",Configuration management and resolution
1-31-2024 13:49:44,More than 10,Virtual Machine (VM),I don't deploy any Collectors to Kubernetes,I don't deploy the OTel Collector on Kubernetes,Yes,No,It's easy to use. I love it!,Collector metrics,"awsemfexporter, debugexporter, otlpexporter, prometheusremotewriteexporter","otlpreceiver, prometheusreceiver","batchprocessor, filterprocessor, memorylimiterprocessor",N/A,"pprofextension, sigv4authextension",Stability
1-31-2024 13:49:59,More than 10,"Kubernetes, Virtual Machine (VM), AWS ECS","next to my application (i.e. k8s sidecar), On every host (i.e k8s daemonset)",OTel Operator,No,No,I don't use it,Collector metrics,"awsemfexporter, awsxrayexporter, datadogexporter","otlpreceiver, prometheusreceiver","attributesprocessor, datadogprocessor, k8sattributesprocessor, resourceprocessor, spanmetricsprocessor, spanprocessor",datadogconnector,oauth2clientauthextension,Configuration management and resolution
1-31-2024 13:51:42,More than 10,Kubernetes,On every host (i.e k8s daemonset),OTel Collector Helm Chart,No,No,I don't use it,Collector metrics,splunkhecexporter,"filereceiver, journaldreceiver","attributesprocessor, k8sattributesprocessor",None,None,Collector observability
1-31-2024 13:54:22,Between 2 and 5,Kubernetes,"On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment)",OTel Operator,No,No,I don't use it,Logs,"awscloudwatchlogsexporter, awss3exporter, splunkhecexporter","k8sclusterreceiver, k8seventsreceiver, k8sobjectsreceiver, otlpreceiver, prometheusreceiver","batchprocessor, filterprocessor, k8sattributesprocessor, memorylimiterprocessor, metricstransformprocessor",None,healthcheckextension,Collector observability
1-31-2024 13:54:53,Between 5 and 10,Kubernetes,"On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment), In a stateful scenario (ie k8s statefulset)",OTel Operator,Yes,Yes,It's easy to use. I love it!,Logs,"awss3exporter, clickhouseexporter, datadogexporter, elasticsearchexporter, fileexporter, honeycombmarkerexporter, instanaexporter, kafkaexporter, loadbalancingexporter, lokiexporter, opensearchexporter, otlpexporter, prometheusremotewriteexporter, pulsarexporter, skywalkingexporter","apachereceiver, datadogreceiver, elasticsearchreceiver, expvarreceiver, filelogreceiver, filereceiver, filestatsreceiver, hostmetricsreceiver, httpcheckreceiver, jaegerreceiver, jmxreceiver, k8sclusterreceiver, k8seventsreceiver, k8sobjectsreceiver, kafkametricsreceiver, kafkareceiver, kubeletstatsreceiver, lokireceiver, memcachedreceiver, mongodbatlasreceiver, mongodbreceiver, mysqlreceiver, otlpjsonfilereceiver, otlpreceiver, postgresqlreceiver, pulsarreceiver, redisreceiver, skywalkingreceiver, snmpreceiver, tcplogreceiver, udplogreceiver, zipkinreceiver","attributesprocessor, batchprocessor, cumulativetodeltaprocessor, datadogprocessor, deltatorateprocessor, filterprocessor, groupbyattrsprocessor, groupbytraceprocessor, k8sattributesprocessor, logstransformprocessor, memorylimiterprocessor, metricsgenerationprocessor, metricstransformprocessor, probabilisticsamplerprocessor, redactionprocessor, remotetapprocessor, resourcedetectionprocessor, resourceprocessor, routingprocessor, schemaprocessor, servicegraphprocessor, spanmetricsprocessor, spanprocessor, tailsamplingprocessor, transformprocessor","countconnector, exceptionsconnector, failoverconnector, routingconnector, servicegraphconnector, spanmetricsconnector","asapauthextension, awsproxy, basicauthextension, bearertokenauthextension, encoding, headerssetterextension, healthcheckextension, httpforwarder, jaegerremotesampling, observer, opampextension, pprofextension, remotetapextension, sigv4authextension, storage",Configuration management and resolution
1-31-2024 13:55:47,More than 10,Kubernetes,"As a gateway (i.e. k8s deployment), In a stateful scenario (ie k8s statefulset)",My own manifests,No,No,I don't use it,Collector metrics,"prometheusexporter, prometheusremotewriteexporter","k8seventsreceiver, otlpreceiver, prometheusreceiver","attributesprocessor, batchprocessor, memorylimiterprocessor, spanmetricsprocessor",spanmetricsconnector,storage,Collector observability
1-31-2024 14:03:34,Between 2 and 5,Kubernetes,"On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment)",OTel Collector Helm Chart,No,No,I don't use it,Collector metrics,"loadbalancingexporter, lokiexporter, otlpexporter, prometheusremotewriteexporter","jaegerreceiver, otlpreceiver","attributesprocessor, batchprocessor, k8sattributesprocessor, memorylimiterprocessor",None?,healthcheckextension,Stability
1-31-2024 14:05:50,Between 5 and 10,Kubernetes,In a stateful scenario (ie k8s statefulset),OTel Operator,No,No,Meh,Collector metrics,"loadbalancingexporter, lokiexporter, otlpexporter, prometheusexporter, prometheusremotewriteexporter","k8sobjectsreceiver, otlpreceiver, prometheusreceiver","batchprocessor, k8sattributesprocessor, memorylimiterprocessor, resourceprocessor, tailsamplingprocessor, transformprocessor",spanmetricsconnector,"healthcheckextension, pprofextension, file_storage",Stability
1-31-2024 14:07:31,More than 10,Kubernetes,As a gateway (i.e. k8s deployment),My own manifests,Yes,Yes,It's easy to use. I love it!,logs and collector metrics,"debugexporter, kafkaexporter, loggingexporter, otlpexporter, custom exporters","azureblobreceiver, azureeventhubreceiver, azuremonitorreceiver, dockerstatsreceiver, elasticsearchreceiver, fluentforwardreceiver, hostmetricsreceiver, k8seventsreceiver, kafkareceiver, mongodbreceiver, otlpreceiver, prometheusreceiver, snmpreceiver, splunkhecreceiver, syslogreceiver, windowseventlogreceiver","attributesprocessor, batchprocessor, cumulativetodeltaprocessor, filterprocessor, memorylimiterprocessor, metricstransformprocessor, probabilisticsamplerprocessor, resourceprocessor, custom receivers","spanmetricsconnector, forwardconnector","healthcheckextension, pprofextension, memory_ballast, zpages",Collector observability
1-31-2024 14:14:52,More than 10,"Kubernetes, Virtual Machine (VM), Bare Metal","next to my application (i.e. k8s sidecar), On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment), In a stateful scenario (ie k8s statefulset)",OTel Collector Helm Chart,Yes,Yes,It's easy to use. I love it!,Collector metrics,"prometheusexporter, sapmexporter, signalfxexporter","datadogreceiver, dockerstatsreceiver, hostmetricsreceiver, k8sobjectsreceiver, lokireceiver, memcachedreceiver, mongodbatlasreceiver, mongodbreceiver, mysqlreceiver, nginxreceiver, nsxtreceiver","filterprocessor, groupbyattrsprocessor, groupbytraceprocessor, k8sattributesprocessor, probabilisticsamplerprocessor, redactionprocessor, remotetapprocessor, resourcedetectionprocessor, resourceprocessor","exceptionsconnector, failoverconnector, routingconnector, servicegraphconnector","encoding, headerssetterextension, healthcheckextension, httpforwarder, jaegerremotesampling, oauth2clientauthextension",Stability
1-31-2024 14:18:29,Between 5 and 10,Kubernetes,As a gateway (i.e. k8s deployment),OTel Collector Helm Chart,No,No,I don't use it,Collector metrics,"debugexporter, kafkaexporter, loadbalancingexporter, otlpexporter, prometheusremotewriteexporter, splunkhecexporter","azuremonitorreceiver, jaegerreceiver, kafkareceiver, otlpreceiver","batchprocessor, groupbytraceprocessor, k8sattributesprocessor, memorylimiterprocessor, probabilisticsamplerprocessor, routingprocessor, servicegraphprocessor, tailsamplingprocessor",routingconnector,oauth2clientauthextension,Support for more receivers or exporters
1-31-2024 14:18:32,More than 10,Kubernetes,"next to my application (i.e. k8s sidecar), On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment), In a stateful scenario (ie k8s statefulset)",OTel Operator,No,No,I don't use it,I don't,"loggingexporter, lokiexporter, otlpexporter","k8sclusterreceiver, k8seventsreceiver, k8sobjectsreceiver",k8sattributesprocessor,routingconnector,basicauthextension,Configuration management and resolution
1-31-2024 14:24:33,Between 2 and 5,Kubernetes,"next to my application (i.e. k8s sidecar), On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment)",OTel Operator,No,No,I don't use it,I don't,"loggingexporter, lokiexporter, otlpexporter, prometheusexporter","filelogreceiver, otlpreceiver, prometheusreceiver","attributesprocessor, batchprocessor, k8sattributesprocessor, memorylimiterprocessor",Null,Null,Stability
1-31-2024 14:26:16,More than 10,Kubernetes,"On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment)",OTel Collector Helm Chart,No,No,I don't use it,Collector metrics,-,"prometheusreceiver, webhookeventreceiver","batchprocessor, k8sattributesprocessor, metricsgenerationprocessor, servicegraphprocessor, spanmetricsprocessor",-,-,Stability
1-31-2024 14:27:26,1,Kubernetes,On every host (i.e k8s daemonset),OTel Operator,No,No,I don't use it,Collector metrics,"alertmanagerexporter, kafkaexporter, lokiexporter, otlpexporter, prometheusexporter, prometheusremotewriteexporter, zipkinexporter",zipkinreceiver,"batchprocessor, spanprocessor",spanmetricsconnector,basicauthextension,Collector observability
1-31-2024 14:27:46,More than 10,"Kubernetes, Virtual Machine (VM)","On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment)",OTel Operator,No,No,I don't use it,Collector metrics,"datasetexporter, loggingexporter, otlpexporter, prometheusexporter, prometheusremotewriteexporter","datadogreceiver, otlpreceiver, prometheusreceiver","attributesprocessor, batchprocessor, memorylimiterprocessor, transformprocessor",datadogconnector,healthcheckextension,Collector observability
1-31-2024 14:35:03,Between 2 and 5,Kubernetes,"On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment)",OTel Operator,No,No,I don't use it,Logs and metrics,"debugexporter, googlecloudexporter, googlemanagedprometheusexporter, lokiexporter, otlpexporter, prometheusremotewriteexporter","filelogreceiver, otlpreceiver, prometheusreceiver","attributesprocessor, batchprocessor, k8sattributesprocessor, memorylimiterprocessor, probabilisticsamplerprocessor",Have considered spanmetrics and servicegraph,"bearertokenauthextension, healthcheckextension",Stability
1-31-2024 14:39:04,Between 2 and 5,Kubernetes,As a gateway (i.e. k8s deployment),My own manifests,No,No,I don't use it,I don't,"otlpexporter, prometheusexporter",otlpreceiver,tailsamplingprocessor,countconnector,jaegerremotesampling,Collector observability
1-31-2024 14:42:51,Between 5 and 10,Bare Metal,I don't deploy any Collectors to Kubernetes,I don't deploy the OTel Collector on Kubernetes,No,No,I don't use it,Logs,"fileexporter, loggingexporter, signalfxexporter, splunkhecexporter, syslogexporter","apachereceiver, collectdreceiver, dockerstatsreceiver, filelogreceiver, filereceiver, filestatsreceiver, mysqlreceiver, nginxreceiver",filterprocessor,None,None,Configuration management and resolution
1-31-2024 14:43:35,More than 10,Kubernetes,"next to my application (i.e. k8s sidecar), On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment)",My own manifests,Yes,Yes,It's easy to use. I love it!,Collector metrics,"datadogexporter, loggingexporter, otlpexporter, prometheusremotewriteexporter, zipkinexporter","otlpreceiver, zipkinreceiver","attributesprocessor, batchprocessor, cumulativetodeltaprocessor, groupbyattrsprocessor, groupbytraceprocessor, k8sattributesprocessor, memorylimiterprocessor, tailsamplingprocessor, transformprocessor",countconnector,"healthcheckextension, pprofextension",Collector observability
1-31-2024 14:45:31,More than 10,Kubernetes,"next to my application (i.e. k8s sidecar), As a gateway (i.e. k8s deployment), In a stateful scenario (ie k8s statefulset)",OTel Collector Helm Chart,Yes,Yes,It's easy to use. I love it!,Collector metrics,loadbalancingexporter,otlpreceiver,"attributesprocessor, batchprocessor, cumulativetodeltaprocessor, filterprocessor, groupbytraceprocessor, spanprocessor, tailsamplingprocessor",spanmetricsconnector,"healthcheckextension, pprofextension",Configuration management and resolution
1-31-2024 14:46:13,Between 5 and 10,Kubernetes,"next to my application (i.e. k8s sidecar), On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment)",OTel Operator,No,No,Meh,Collector metrics,"lokiexporter, otlpexporter, prometheusexporter, prometheusremotewriteexporter","fluentforwardreceiver, jaegerreceiver, otlpreceiver, prometheusreceiver","attributesprocessor, batchprocessor, filterprocessor, memorylimiterprocessor, spanprocessor",None,None,Stability
1-31-2024 14:53:37,More than 10,Kubernetes,As a gateway (i.e. k8s deployment),My own manifests,No,No,I don't use it,Collector metrics,"datadogexporter, debugexporter, fileexporter, loggingexporter","otlpreceiver, prometheusreceiver","attributesprocessor, batchprocessor, filterprocessor, groupbyattrsprocessor, memorylimiterprocessor, probabilisticsamplerprocessor, redactionprocessor, resourceprocessor, spanprocessor, transformprocessor",The datadog connector would be one but it has a memory leak so we disabled it,"basicauthextension, healthcheckextension",Collector observability
1-31-2024 14:56:10,Between 5 and 10,"HashiCorp Nomad, Bare Metal",I don't deploy any Collectors to Kubernetes,I don't deploy the OTel Collector on Kubernetes,No,No,I don't use it,Collector metrics,"otlpexporter, prometheusexporter, prometheusremotewriteexporter","dockerstatsreceiver, filereceiver, hostmetricsreceiver, iisreceiver, otlpreceiver, sqlserverreceiver, windowsperfcountersreceiver","attributesprocessor, batchprocessor, memorylimiterprocessor, resourcedetectionprocessor, resourceprocessor, spanmetricsprocessor",spanmetricsconnector,oauth2clientauthextension,Stability
1-31-2024 15:06:40,More than 10,Kubernetes,"On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment)",OTel Collector Helm Chart,No,No,I don't use it,logs and collector metrics,"debugexporter, loadbalancingexporter, loggingexporter, lokiexporter, otlpexporter, prometheusremotewriteexporter","filelogreceiver, k8sclusterreceiver, k8seventsreceiver, k8sobjectsreceiver, mongodbatlasreceiver, otlpreceiver, prometheusreceiver","attributesprocessor, batchprocessor, filterprocessor, k8sattributesprocessor, memorylimiterprocessor, routingprocessor, spanmetricsprocessor, tailsamplingprocessor, transformprocessor",spanmetricsconnector,"basicauthextension, healthcheckextension",Stability
1-31-2024 15:08:04,Between 5 and 10,Kubernetes,On every host (i.e k8s daemonset),OTel Collector Helm Chart,No,No,I don't use it,Logs,"awsxrayexporter, loggingexporter, lokiexporter, otlpexporter, prometheusremotewriteexporter",otlpreceiver,"batchprocessor, k8sattributesprocessor, memorylimiterprocessor, resourcedetectionprocessor, resourceprocessor",None,None,Collector observability
1-31-2024 15:18:24,Between 5 and 10,Kubernetes,In a stateful scenario (ie k8s statefulset),My own manifests,Yes,Yes,It's easy to use. I love it!,Collector metrics,"otlpexporter, prometheusexporter",otlpreceiver,"batchprocessor, filterprocessor, memorylimiterprocessor, spanmetricsprocessor",spanmetricsconnector,healthcheckextension,Stability
1-31-2024 15:34:35,More than 10,Bare Metal,I don't deploy any Collectors to Kubernetes,I don't deploy the OTel Collector on Kubernetes,Yes,Yes,It's easy to use. I love it!,I don't,"clickhouseexporter, otlpexporter","activedirectorydsreceiver, filelogreceiver, hostmetricsreceiver, httpcheckreceiver, mysqlreceiver, otlpreceiver, postgresqlreceiver, sqlqueryreceiver, windowseventlogreceiver","batchprocessor, cumulativetodeltaprocessor, logstransformprocessor, memorylimiterprocessor, resourcedetectionprocessor, transformprocessor",countconnector,storage,Configuration management and resolution
1-31-2024 15:39:12,Between 2 and 5,Kubernetes,"On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment)",OTel Operator,No,No,I don't use it,Collector metrics,"loadbalancingexporter, otlpexporter","opencensusreceiver, otlpreceiver, zipkinreceiver","batchprocessor, memorylimiterprocessor, servicegraphprocessor, spanmetricsprocessor, tailsamplingprocessor","servicegraphconnector, spanmetricsconnector",healthcheckextension,Collector observability
1-31-2024 15:46:37,Between 2 and 5,"Kubernetes, Cloud run ","On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment)",OTel Operator,No,No,I don't use it,Logs,otlpexporter,"hostmetricsreceiver, k8sclusterreceiver, k8seventsreceiver, kubeletstatsreceiver, otlpreceiver","attributesprocessor, batchprocessor, groupbyattrsprocessor, k8sattributesprocessor, metricstransformprocessor, transformprocessor",NaN ,NaN ,Stability
1-31-2024 15:47:57,More than 10,Kubernetes,As a gateway (i.e. k8s deployment),OTel Operator,No,No,I don't use it,Logs and Metrics,"honeycombmarkerexporter, prometheusexporter","otlpreceiver, zipkinreceiver","attributesprocessor, batchprocessor, k8sattributesprocessor, memorylimiterprocessor, resourceprocessor",NA,pprofextension,Configuration management and resolution
1-31-2024 15:57:31,More than 10,"Kubernetes, Virtual Machine (VM)",On every host (i.e k8s daemonset),OTel Collector Helm Chart,Yes,No,I don't use it,logs/metrics,coralogixexporter,"apachesparkreceiver, awsecscontainermetricsreceiver, datadogreceiver, filelogreceiver, haproxyreceiver, hostmetricsreceiver, iisreceiver, jaegerreceiver, jmxreceiver, k8sclusterreceiver, k8seventsreceiver, k8sobjectsreceiver, kafkametricsreceiver, kafkareceiver, kubeletstatsreceiver, memcachedreceiver, mongodbatlasreceiver, mongodbreceiver, mysqlreceiver, nginxreceiver, otlpreceiver, postgresqlreceiver, prometheusreceiver, sqlqueryreceiver, sqlserverreceiver, statsdreceiver, syslogreceiver, windowseventlogreceiver, windowsperfcountersreceiver, zipkinreceiver","attributesprocessor, batchprocessor, filterprocessor, groupbyattrsprocessor, groupbytraceprocessor, k8sattributesprocessor, logstransformprocessor, memorylimiterprocessor, metricstransformprocessor, probabilisticsamplerprocessor, spanmetricsprocessor, spanprocessor, tailsamplingprocessor, transformprocessor",spanmetricsconnector,none,Configuration management and resolution
1-31-2024 15:57:46,More than 10,"Kubernetes, Virtual Machine (VM)","next to my application (i.e. k8s sidecar), On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment)",My own manifests,Yes,No,I don't use it,Collector metrics,"datadogexporter, debugexporter, elasticsearchexporter, googlecloudpubsubexporter, loggingexporter, otlpexporter, custom exporters","dockerstatsreceiver, elasticsearchreceiver, filelogreceiver, googlecloudpubsubreceiver, hostmetricsreceiver, httpcheckreceiver, journaldreceiver, k8sclusterreceiver, k8sobjectsreceiver, kubeletstatsreceiver, opencensusreceiver, otlpreceiver, postgresqlreceiver, sqlqueryreceiver, sshcheckreceiver","batchprocessor, filterprocessor, k8sattributesprocessor, memorylimiterprocessor, probabilisticsamplerprocessor, redactionprocessor, resourcedetectionprocessor, resourceprocessor, transformprocessor, custom processors",none,storage,Collector observability
1-31-2024 16:07:29,More than 10,Kubernetes,"On every host (i.e k8s daemonset), In a stateful scenario (ie k8s statefulset)",My own manifests,No,No,I don't use it,Collector metrics,"loadbalancingexporter, loggingexporter, otlpexporter","jaegerreceiver, otlpreceiver","attributesprocessor, batchprocessor, memorylimiterprocessor, resourcedetectionprocessor, tailsamplingprocessor",None,healthcheckextension,Configuration management and resolution
1-31-2024 16:28:41,More than 10,"Virtual Machine (VM), ",As a gateway (i.e. k8s deployment),I don't deploy the OTel Collector on Kubernetes,No,No,It's easy to use. I love it!,"Logs, Collector metrics","datadogexporter, debugexporter, dynatraceexporter, otlpexporter, prometheusexporter, prometheusremotewriteexporter","otlpreceiver, prometheusreceiver","batchprocessor, filterprocessor, resourceprocessor",datadogconnector,basicauthextension,Configuration management and resolution
1-31-2024 16:38:34,More than 10,"Kubernetes, Virtual Machine (VM)","next to my application (i.e. k8s sidecar), On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment), In a stateful scenario (ie k8s statefulset)",OTel Operator,Yes,Yes,Meh,"Logs, Collector metrics",otlpexporter,"activedirectorydsreceiver, aerospikereceiver, apachereceiver, apachesparkreceiver, bigipreceiver, cloudflarereceiver, couchdbreceiver, elasticsearchreceiver, filelogreceiver, flinkmetricsreceiver, iisreceiver, jmxreceiver, journaldreceiver, memcachedreceiver, mongodbatlasreceiver, mongodbreceiver, mysqlreceiver, namedpipereceiver, nginxreceiver, nsxtreceiver, otlpreceiver, rabbitmqreceiver, redisreceiver, riakreceiver, snmpreceiver, sqlserverreceiver, syslogreceiver, tcplogreceiver, udplogreceiver, vcenterreceiver, windowseventlogreceiver, windowsperfcountersreceiver, zookeeperreceiver","batchprocessor, filterprocessor, logstransformprocessor, metricstransformprocessor, transformprocessor","countconnector, routingconnector, servicegraphconnector, spanmetricsconnector",storage,Collector observability
