Timestamp,How large is your organization?,What industry do you work in?,What type of team do you work on?,Do you work for an Observability or APM (monitoring) vendor?,Are you running OpenTelemetry in Production?,Where in your Observability journey is your organization?,What source do you primarily rely on when you're looking for information about OpenTelemetry? ,"If you selected ""Other"" in the preceding question, please tell us more here:",What features or information would you like to see added to https://opentelemetry.io/docs that aren't currently available?,"Would more visual aids (e.g., diagrams and screenshots) explaining OpenTelemetry concepts be helpful? ",How well do the current docs (at https://opentelemetry.io/docs) explain the different components of OpenTelemetry?,How straightforward and user-friendly are the installation instructions for OpenTelemetry?,How comprehensive are the troubleshooting sections?,How would you rate your experience using the current OTel documentation for the following? (Please rate the ones that apply to you) [.NET],How would you rate your experience using the current OTel documentation for the following? (Please rate the ones that apply to you) [C++],How would you rate your experience using the current OTel documentation for the following? (Please rate the ones that apply to you) [Erlang/Elixir],How would you rate your experience using the current OTel documentation for the following? (Please rate the ones that apply to you) [Go],How would you rate your experience using the current OTel documentation for the following? (Please rate the ones that apply to you) [Java],How would you rate your experience using the current OTel documentation for the following? (Please rate the ones that apply to you) [JavaScript],How would you rate your experience using the current OTel documentation for the following? (Please rate the ones that apply to you) [PHP],How would you rate your experience using the current OTel documentation for the following? (Please rate the ones that apply to you) [Python],How would you rate your experience using the current OTel documentation for the following? (Please rate the ones that apply to you) [Ruby],How would you rate your experience using the current OTel documentation for the following? (Please rate the ones that apply to you) [Rust],How would you rate your experience using the current OTel documentation for the following? (Please rate the ones that apply to you) [Swift],How would you rate your experience using the current OTel documentation for the following? (Please rate the ones that apply to you) [Collector],How would you rate your experience using the current OTel documentation for the following? (Please rate the ones that apply to you) [Kubernetes],How would you rate your experience using the current OTel documentation for the following? (Please rate the ones that apply to you) [FaaS],Have you ever contributed to the OpenTelemetry documentation (https://opentelemetry.io/docs)?,"If you have not contributed to the OpenTelemetry docs, what is the top thing that has prevented or is preventing you from contributing to the docs?","If you selected ""Other"" in the preceding question, please provide the details here:","If you have contributed to the OpenTelemetry docs, how would you rate your experience?",Please provide further details about your experience contributing to the OpenTelemetry docs:,Are you interested in becoming an OpenTelemetry contributor/community member?,"If yes, are you aware of the process required to become a contributor?"
10/21/2024 13:09:02,0-50,Other,Other,No,No,Intermediate - We are setting up an Observability practice / Have used monitoring tools,OpenTelemetry code repositories,,dasd,No,3,2,2,Poor,Okay,Okay,Okay,Okay,Okay,Great,Okay,Okay,Okay,Okay,Okay,Okay,Okay,No,Having to sign the CLA,dasdad,2,,Yes,No
10/21/2024 14:08:21,100-1000,Technology,SRE,No,Yes,Intermediate - We are setting up an Observability practice / Have used monitoring tools,OpenTelemetry code repositories,,Otel collector architecture; Contrib components docs,Yes,4,4,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,Lack of time,,,,No,N/A - didn't answer yes to above question
10/21/2024 15:13:58,100-1000,Technology,Observability,No,Yes,Expert - We have a well-established Observability practice,Docs at opentelemetry.io,,"Clearer intent of each section.  Not just including the information but structure it in a way that serves the current requirement of the reader.   You could separate out the formal, concise and searchable (day to day) reference manual from the (one-off) warmer and less formal beginner guides.  At the moment feels like an odd combination of both at once.   Use more stories, analogies, q&a, diagrams, visual separators and relate it to the reader's prior knowledge.",Yes,2,2,3,N/A,N/A,N/A,N/A,"Okay, N/A","Okay, N/A",N/A,Okay,N/A,N/A,N/A,N/A,N/A,N/A,No,Other (provide details in the next question),"Overall structure, and each section, doesn't feel either architected or refined enough yet for contributions.",,,Yes,Yes
10/21/2024 23:39:45,100-1000,Finance,Platform Engineering,No,Yes,Expert - We have a well-established Observability practice,Docs at opentelemetry.io,,"An content hierarchy that is more user-friendly with more descriptive titles. More best practice documentation for production workloads, patterns for deployment (load balancer, multi-cluster, multi-tenant). Better troubleshooting guidance.",Yes,3,3,3,Okay,N/A,N/A,N/A,N/A,Okay,N/A,N/A,N/A,N/A,N/A,Okay,Okay,N/A,Yes,,,4,"Easy to find GH issues for beginning contributors. Fast PR review response. Other GH issues  hard to understand, seems they exist mainly for tracking core contributor work.",Yes,Yes
10/22/2024 0:13:34,50-100,Advertisement,Dev,No,Yes,Intermediate - We are setting up an Observability practice / Have used monitoring tools,Docs at opentelemetry.io,,None specifically.,Yes,4,2,2,N/A,N/A,N/A,N/A,Okay,N/A,N/A,Okay,N/A,N/A,N/A,Okay,Okay,N/A,No,Lack of time,,,,Yes,No
10/22/2024 0:33:28,0-50,Technology,Dev,No,Yes,Intermediate - We are setting up an Observability practice / Have used monitoring tools,Docs at opentelemetry.io,,"* OTel Collector docs should contain information for all components. Currently the user needs to switch between docs and the GitHub repo to get all information.

* Examples for production-ready configurations of OTel Collector would be helpful. These examples could show settings for retry etc.

* Ready-to-use Grafana dashboards for system or application monitoring.",Yes,2,3,3,N/A,N/A,N/A,N/A,Okay,N/A,N/A,N/A,N/A,N/A,N/A,Okay,N/A,N/A,No,I don't know how to do it,,,,No,N/A - didn't answer yes to above question
10/22/2024 2:18:59,50-100,Aerospace,Platform Engineering,No,No,Intermediate - We are setting up an Observability practice / Have used monitoring tools,Docs at opentelemetry.io,,How to establish correlation between signals,Yes,4,4,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Poor,N/A,N/A,N/A,N/A,Yes,,,5,People were kind,Yes,No
10/22/2024 8:53:16,>1000,Automotive,Observability,No,Yes,Expert - We have a well-established Observability practice,OpenTelemetry code repositories,,It might be nice to summarize the various SIGs and what they are working on. I have talked with several folks who didn't realize the SIGs were even a thing.,No,5,3,3,N/A,N/A,N/A,Okay,N/A,Okay,N/A,Okay,N/A,Poor,N/A,N/A,N/A,N/A,No,Lack of time,,,,Yes,Yes
10/22/2024 16:02:39,>1000,Technology,Observability,Yes,Yes,Intermediate - We are setting up an Observability practice / Have used monitoring tools,Docs at opentelemetry.io,,A guided walk-through of building a pipeline using the collector.,Yes,4,4,3,N/A,N/A,N/A,Great,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Okay,Okay,N/A,No,Other (provide details in the next question),I have not felt I have anything to contribute thus far.,,,Yes,No
10/23/2024 2:26:57,>1000,Technology,Other,Yes,Yes,Intermediate - We are setting up an Observability practice / Have used monitoring tools,Docs at opentelemetry.io,,Better getting started guides,Yes,3,2,1,Poor,Okay,Okay,Great,Great,Great,Okay,Okay,Okay,Poor,Poor,Great,Okay,Poor,Yes,I don't know how to do it,,5,,Yes,Yes
10/23/2024 4:51:16,>1000,Technology,DevOps,No,No,Intermediate - We are setting up an Observability practice / Have used monitoring tools,Docs at opentelemetry.io,,More examples and few sample microservice demo apps other than telescopic one. Some video tutorials would be great addons,Yes,3,4,3,N/A,N/A,N/A,Great,Okay,N/A,N/A,Okay,N/A,N/A,N/A,Great,Okay,N/A,No,I don't know how to do it,,,,No,N/A - didn't answer yes to above question
10/23/2024 6:11:50,100-1000,Media,SRE,No,Yes,Intermediate - We are setting up an Observability practice / Have used monitoring tools,Docs at opentelemetry.io,,"scaling limits, authentication methods",Yes,4,4,3,N/A,N/A,N/A,Great,Okay,Okay,N/A,Okay,N/A,N/A,N/A,Great,Great,N/A,No,Lack of time,,,,Yes,No
10/23/2024 13:48:31,100-1000,Finance,Observability,No,No,Intermediate - We are setting up an Observability practice / Have used monitoring tools,Blog posts,,Profiling independent of vendor distribution ,Yes,2,5,3,Okay,Okay,Okay,Okay,Okay,Okay,Okay,Okay,Okay,Okay,Okay,Great,Okay,Okay,No,I don't know how to do it,,,,Yes,No
10/23/2024 14:52:16,100-1000,Technology,DevOps,No,Yes,Intermediate - We are setting up an Observability practice / Have used monitoring tools,OpenTelemetry code repositories,,"Would be nice if all of the receivers, exporters, and processors in opentelemetry-collector and opentelemetry-collector-contrib were documented nicely in the docs rather than having to dig through git repos. More consistent way to see what observability is generated by particular components. ",Yes,4,4,4,N/A,N/A,N/A,N/A,N/A,Okay,N/A,N/A,N/A,N/A,N/A,N/A,"Okay, Great",N/A,No,Lack of time,,,"I have contributed to the docs for a otel collector component that was inaccurate, but that was in a different repo. ",Yes,No
10/23/2024 15:29:00,>1000,Healthcare,SRE,No,No,Intermediate - We are setting up an Observability practice / Have used monitoring tools,Docs at opentelemetry.io,,Nothing off the top of my head,Yes,4,4,4,N/A,N/A,N/A,N/A,Great,N/A,N/A,Great,N/A,N/A,N/A,Great,Great,N/A,No,Lack of time,,,,Yes,Yes
10/23/2024 16:42:23,>1000,Technology,Dev,No,Yes,Intermediate - We are setting up an Observability practice / Have used monitoring tools,OpenTelemetry code repositories,,"Code examples, sdk extensibility, and more user cases.",Yes,2,2,1,N/A,N/A,N/A,Okay,N/A,N/A,N/A,Poor,N/A,N/A,N/A,Poor,Poor,N/A,No,I don't know how to do it,,,,Yes,Yes
10/24/2024 14:10:53,50-100,Finance,Observability,No,Yes,Intermediate - We are setting up an Observability practice / Have used monitoring tools,Docs at opentelemetry.io,,More examples i'm diferente languages,Yes,3,4,3,Great,N/A,N/A,N/A,Okay,N/A,N/A,Poor,N/A,Great,N/A,Okay,N/A,N/A,No,Lack of time,,,,Yes,No
10/25/2024 4:55:16,100-1000,Technology,DevOps,Yes,Yes,Expert - We have a well-established Observability practice,OpenTelemetry code repositories,,Aix monitoring/Message systems ,Yes,5,2,3,Okay,Okay,Okay,Okay,Great,Okay,Okay,Great,Great,Okay,Poor,Okay,Okay,Okay,No,Lack of time,,,,Yes,Yes
10/25/2024 15:49:24,0-50,Technology,Technical Writing,Yes,No,Intermediate - We are setting up an Observability practice / Have used monitoring tools,Blog posts,,more realistic practical examples,No,2,3,2,N/A,N/A,N/A,"Poor, Okay, N/A",N/A,N/A,N/A,"Poor, Okay, N/A",N/A,N/A,N/A,N/A,N/A,N/A,No,I don't know how to do it,,,,No,N/A - didn't answer yes to above question
10/26/2024 14:16:43,>1000,Healthcare,Platform Engineering,No,Yes,Expert - We have a well-established Observability practice,Docs at opentelemetry.io,,"Need more details on Target allocator setup, to replace Prometheus for metrics and it’s integration with google managed Prometheus to ship the metrics.",Yes,3,2,2,N/A,N/A,N/A,Poor,Poor,Okay,N/A,Okay,N/A,N/A,N/A,Poor,Poor,N/A,No,I don't know how to do it,,,,No,No
10/27/2024 13:29:42,>1000,Retail,Observability,No,Yes,Expert - We have a well-established Observability practice,Docs at opentelemetry.io,,/,Yes,4,3,2,Great,N/A,N/A,Okay,Okay,N/A,N/A,Great,N/A,N/A,N/A,Great,Okay,N/A,No,Lack of time,,,,Yes,Yes
10/28/2024 10:28:09,>1000,Finance,Other,No,Yes,Intermediate - We are setting up an Observability practice / Have used monitoring tools,Other (provide details in the next question),Slack and GitHub,Just needs to be comprehensive and standardised across all parts of the project,Yes,2,3,1,N/A,N/A,N/A,Poor,N/A,N/A,N/A,Poor,N/A,N/A,N/A,Poor,Poor,N/A,No,Other (provide details in the next question),"Time, unsure of the process, not sure what the legal implications of the CLA is",,,Yes,No
10/28/2024 19:59:51,100-1000,Retail,Other,No,Yes,Intermediate - We are setting up an Observability practice / Have used monitoring tools,Docs at opentelemetry.io,,"The Java documentation is split between zero code, or manual instrumentation. Most examples are similarly divided. I'd love to see some combined examples -- adding the Java agent + custom configuration of the SDK to support metric views or span processors ",Yes,3,4,3,N/A,N/A,N/A,N/A,Okay,Poor,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,I don't know how to do it,,,,Yes,No
10/29/2024 2:41:16,0-50,Finance,Dev,Yes,Yes,Expert - We have a well-established Observability practice,OpenTelemetry code repositories,,Examples of instrumenting a system,Yes,4,4,3,Okay,N/A,N/A,N/A,N/A,N/A,N/A,Great,N/A,N/A,N/A,Great,N/A,N/A,No,Lack of time,,,,Yes,No
10/29/2024 14:31:04,0-50,Technology,Observability,No,Yes,Intermediate - We are setting up an Observability practice / Have used monitoring tools,OpenTelemetry code repositories,,More extensive docs on exporters,No,2,2,4,N/A,N/A,N/A,Okay,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Okay,Okay,N/A,No,,,,,Yes,Yes
10/30/2024 13:06:11,100-1000,Technology,SRE,Yes,Yes,Expert - We have a well-established Observability practice,OpenTelemetry code repositories,,Tons of examples on configs. We often have to dive into code in OTEL components to see the available options ,No,3,3,1,N/A,N/A,N/A,Okay,N/A,Okay,N/A,N/A,N/A,N/A,N/A,Okay,Okay,N/A,No,Other (provide details in the next question),I don't know if OTEL wants better docs on the contrib repos. These components change frequently. Open issues wanting contributions would eliminate this barrier.,,,Yes,No
10/30/2024 13:49:22,>1000,Automotive,Observability,No,Yes,Intermediate - We are setting up an Observability practice / Have used monitoring tools,Docs at opentelemetry.io,,RUM,Yes,4,4,3,N/A,N/A,N/A,Great,Great,N/A,N/A,Great,N/A,Great,N/A,Okay,Okay,N/A,No,I don't know how to do it,,,,No,N/A - didn't answer yes to above question
10/30/2024 22:38:28,100-1000,Technology,Dev,No,Yes,Intermediate - We are setting up an Observability practice / Have used monitoring tools,Docs at opentelemetry.io,,Simplify ,Yes,3,3,3,N/A,N/A,N/A,N/A,Okay,Okay,N/A,Okay,N/A,N/A,N/A,N/A,N/A,"Poor, Great",No,I don't know how to do it,,,,No,No
10/31/2024 4:01:51,0-50,Technology,Dev,Yes,Yes,Expert - We have a well-established Observability practice,Blog posts,,"modern navigation, modern search, refreshed look. Just use docusaurus + algolia docsearch or someting.",No,2,1,2,N/A,N/A,N/A,Okay,N/A,Okay,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,Lack of time,,,,No,No
11/2/2024 20:07:03,>1000,Technology,Observability,Yes,Yes,Intermediate - We are setting up an Observability practice / Have used monitoring tools,Docs at opentelemetry.io,,"different usecases, exporters detailed view, everything ",Yes,3,4,3,Okay,Okay,Okay,Okay,Okay,Okay,Okay,Okay,Okay,Okay,Okay,Okay,Okay,Okay,No,I don't know how to do it,,,,Yes,No
11/6/2024 9:33:47,>1000,Retail,Observability,No,Yes,Expert - We have a well-established Observability practice,OpenTelemetry code repositories,,N/A,Yes,3,3,2,N/A,N/A,N/A,Okay,Okay,N/A,N/A,N/A,N/A,N/A,N/A,Okay,Okay,N/A,Yes,,,4,,Yes,No
11/6/2024 14:42:58,>1000,Retail,Platform Engineering,No,Yes,Intermediate - We are setting up an Observability practice / Have used monitoring tools,Docs at opentelemetry.io,,Make the doc simpler and concise...seems like it's very difficult to navigate the doc (Java is instrumentation). Don't overwhelm users with too much information.,Yes,3,2,2,N/A,N/A,N/A,N/A,Okay,N/A,N/A,N/A,N/A,N/A,N/A,Okay,Poor,N/A,No,I don't know how to do it,,,,No,N/A - didn't answer yes to above question
11/9/2024 11:39:44,50-100,Technology,Platform Engineering,No,Yes,Intermediate - We are setting up an Observability practice / Have used monitoring tools,OpenTelemetry code repositories,,An OTTL playground maybe? (like the Rego Playground),No,1,1,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Poor,N/A,N/A,No,Other (provide details in the next question),"The otel contrib collector components really need more example code imho, but not sure the best place to put examples",,,Yes,Yes
11/10/2024 8:33:53,>1000,Technology,Observability,No,Yes,Intermediate - We are setting up an Observability practice / Have used monitoring tools,Docs at opentelemetry.io,,More example specially for less used options and clauses. More details on the impact of any attribute on observability.,Yes,4,4,2,N/A,N/A,N/A,N/A,Great,Okay,N/A,Okay,N/A,N/A,N/A,Great,Great,N/A,No,I don't know how to do it,,,,Yes,No
11/10/2024 20:19:15,>1000,Healthcare,Observability,No,Yes,Intermediate - We are setting up an Observability practice / Have used monitoring tools,Docs at opentelemetry.io,,NA,Yes,4,5,5,Okay,N/A,N/A,N/A,Great,Okay,N/A,Okay,N/A,N/A,N/A,Great,Great,Poor,No,Lack of time,,,,No,N/A - didn't answer yes to above question
11/12/2024 12:08:22,>1000,Technology,Sales Engineering,Yes,Yes,Expert - We have a well-established Observability practice,Videos,,"A more thorough explanation of how to instrument and application in a methodical way. The role of trace exporters, tracers, processors, plugins, instrumentations and in what order they should be used. The documentation feels far to fragmented with an assumption that the user understands where to connect the dots.",Yes,2,2,1,Okay,Okay,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Okay,Okay,Poor,No,I don't know how to do it,,,,Yes,No
11/13/2024 9:56:42,100-1000,Technology,Platform Engineering,No,Yes,Expert - We have a well-established Observability practice,OpenTelemetry code repositories,,more usecase driven,Yes,3,1,3,Okay,N/A,N/A,Poor,N/A,Okay,N/A,N/A,N/A,N/A,N/A,Okay,Poor,N/A,No,Lack of time,,,,No,N/A - didn't answer yes to above question
11/17/2024 19:38:30,0-50,Technology,Dev,No,No,Beginner - Learning about observability / Have used monitoring tools,Docs at opentelemetry.io,,korean translation,No,3,3,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Great,N/A,N/A,N/A,N/A,N/A,N/A,No,I don't know how to do it,,,,Yes,Yes
