"Timestamp","How large is your organization?","What industry do you work in?","What type of team do to work on?","How well do you understand Prometheus? [Libraries]","How well do you understand Prometheus? [Formats]","How well do you understand Prometheus? [Server configuration]","How well do you understand Prometheus? [PromQL]","How familiar are you with OpenTelemetry? [Libraries]","How familiar are you with OpenTelemetry? [OTLP]","How familiar are you with OpenTelemetry? [Collector]","How familiar are you with OpenTelemetry? [Operator]","Which of the following instrumentation libraries or tools are you using (select all that apply):","Which of the following OpenTelemetry components are you using to deliver metrics to your backend (select all that apply):","Which of the following are you using to store metrics (select all that apply):","Which query language are you using to query metrics (select all that apply):","Which of these have you done in the past 6 months (select all that apply):","How easy have you found it to use OpenTelemetry with Prometheus?","How confusing have you found the translation between OpenTelemetry metrics and Prometheus metrics?","What have been the biggest challenges you’ve faced using OpenTelemetry with Prometheus?","What would you like to see changed or improved with OpenTelemetry’s Prometheus support?","OpenTelemetry defines the HTTP server histogram metric as http.server.request.duration, with a unit of seconds (s). Suppose you are writing a query for the 95th percentile of the same HTTP metric. Which of the following would you expect to write (regardless of what is valid/correct today), (select all that apply):","Suppose you’ve defined your own OpenTelemetry metric in Go to track how far your robot has traveled:

counter, _ := meter.Float64ObservableCounter(""robot.distance.traveled"",
       metric.WithUnit(""mm"")
   )
   // Call counter.Add() each time the robot moves.

Which of the following would you expect to write (regardless of what is valid/correct today), (select all that apply):","Imagine you know that your node’s OpenTelemetry instrumentation defines a node.time metric, but you don’t remember its unit. Someone complains about a flaky alert, so you open a YAML file with your alert configuration. Which of the following you prefer the most (select all that apply):","Which of the following describes your opinion on units in metric names (select one):","Which of the following describes your opinion on dots vs underscores in metric names (select one):"
"2024/05/01 1:29:14 PM AST",">1,000","Technology","SRE","Not at all familiar","Expert","Not at all familiar","Somewhat familiar","Somewhat familiar","Expert","Expert","Not at all familiar","OpenTelemetry Metric Client Libraries;OpenTelemetry Trace Client Libraries;OpenTelemetry auto-instrumentation agents","OpenTelemetry Collector Prometheus receiver","A backend not associated with Prometheus, not compatible with PromQL","A different open source query language (specify what under Other);ekasticsearch/lucene query","Added a metric to an application;Configured collection or routing of metrics;Written a live (ad-hoc) query over metrics;Created or edited a dashboard for displaying metrics;Created or edited an alert","3","4","resource attributes,  time ordering with queue buffering,  semconv","resource attributes,  time ordering with queue buffering,  semconv","histogram_quantile(0.95, rate({""http.server.request.duration_seconds""}[5m]))","rate({""robot.distance.traveled_millimeters""}[5m])","expr: timestamp(node_time_nanoseconds) - (1e-9 * node_time_nanoseconds) >  5;expr: timestamp({""node.time_nanoseconds""}) - (1e-9 * {""node.time_nanoseconds""}) >  5","Units should be required to be part of the metric name. Without them, it is hard to write proper queries, write or read alerts e.g. in YAML, and build dashboards.","I like the dots better, and am glad OpenTelemetry chose to use them in metric names, let’s make sure dots works better in Prometheus"
"2024/05/01 2:20:46 PM AST","0-50","Technology","Observability","Somewhat familiar","Expert","Somewhat familiar","Expert","Expert","Expert","Expert","Somewhat familiar","Prometheus exporters (e.g. node_exporter);OpenTelemetry Metric Client Libraries;OpenTelemetry Trace Client Libraries;OpenTelemetry auto-instrumentation agents","OpenTelemetry Collector Prometheus receiver;OpenTelemetry Collector Simple Prometheus receiver;OpenTelemetry Collector Prometheus exporter","The Prometheus Server;A Prometheus-compatible (or PromQL compatible) solution from a vendor","PromQL","Added a metric to an application;Configured collection or routing of metrics;Written a live (ad-hoc) query over metrics;Created or edited a dashboard for displaying metrics;Created or edited an alert","3","3","- Differences in metric semantics
- Lack of a notion of resource in Prometheus and the workarounds necessary.
- Not full UTF8 support for metric keys and labels.
- The necessity for suffixes on OTel metrics in Prometheus impedes usability ","OTel's richer semantics are very much appreciated. Having to boils this down to fewer semantics feels wrong and adds usage complexity. I have no proposal that would address this shortcoming, but not forcing awareness of this on end-users would be great.","histogram_quantile(0.95, rate({""http.server.request.duration""}[5m]));histogram_quantile(0.95, rate({""http.server.request.duration_seconds""}[5m]))","rate({""robot.distance.traveled""}[5m]);rate({""robot.distance.traveled_millimeters""}[5m])","expr: timestamp({""node.time""}) - (1e-9 * {""node.time""}) >  5;expr: timestamp({""node.time_nanoseconds""}) - (1e-9 * {""node.time_nanoseconds""}) >  5","We should recommend adding units to metric names, for the reasons above, but let users decide if they should add them or not.","I like the dots better, and am glad OpenTelemetry chose to use them in metric names, let’s make sure dots works better in Prometheus"
"2024/05/01 4:35:29 PM AST",">1,000","Technology","Platform engineering","Expert","Expert","Expert","Expert","Expert","Somewhat familiar","Expert","Not at all familiar","OpenTelemetry Metric Client Libraries;OpenTelemetry Trace Client Libraries","OpenTelemetry Collector Prometheus exporter;OpenTelemetry Collector Prometheus remote write exporter;Prometheus Server OTLP ingestion","An open-source prometheus backend (Thanos, Cortex, Grafana Mimir, etc.);A Prometheus-compatible (or PromQL compatible) solution from a vendor","PromQL;A different open source query language (specify what under Other);MetricsQL","Added a metric to an application;Configured collection or routing of metrics;Written a live (ad-hoc) query over metrics;Created or edited a dashboard for displaying metrics;Created or edited an alert","3","3","The dot vs underscore namespace syntax and different semconv","prometheus has to improve and support otel semconv","histogram_quantile(0.95, rate({""http.server.request.duration""}[5m]));histogram_quantile(0.95, rate({""http.server.request.duration_bucket""}[5m]))","rate({""robot.distance.traveled""}[5m])","expr: timestamp({""node.time""}) - (1e-9 * {""node.time""}) >  5","Units should generally not be added to metric names. Instead, units should be separate metadata, like the metric description. If you need to know the units for queries in alerts and dashboards, you will go look them up.","I like the dots better, and am glad OpenTelemetry chose to use them in metric names, let’s make sure dots works better in Prometheus"
"2024/05/02 3:24:08 AM AST","0-50","Technology","DevOps","Somewhat familiar","Somewhat familiar","Not at all familiar","Somewhat familiar","Somewhat familiar","Somewhat familiar","Somewhat familiar","Not at all familiar","Prometheus Client Libraries;Prometheus exporters (e.g. node_exporter);OpenTelemetry Metric Client Libraries;OpenTelemetry Trace Client Libraries","OpenTelemetry Language SDK Prometheus exporters;OpenTelemetry Collector Prometheus receiver;OpenTelemetry Collector Prometheus exporter;Prometheus Client OTLP export.","The Prometheus Server","PromQL","Added a metric to an application;Configured collection or routing of metrics;Created or edited a dashboard for displaying metrics;Created or edited an alert","2","4","no","support Delta temporality ","histogram_quantile(0.95, rate(http_server_request_duration_seconds_bucket[5m]))","rate(robot_distance_traveled_millimeters_total[5m])","expr: timestamp(node_time_nanoseconds) - (1e-9 * node_time_nanoseconds) >  5","We should recommend adding units to metric names, for the reasons above, but let users decide if they should add them or not.","I like the dots better, and am glad OpenTelemetry chose to use them in metric names, let’s make sure dots works better in Prometheus"
"2024/05/02 7:25:09 AM AST","100-1,000","Technology","Platform engineering","Somewhat familiar","Somewhat familiar","Somewhat familiar","Somewhat familiar","Somewhat familiar","Somewhat familiar","Somewhat familiar","Somewhat familiar","Prometheus Client Libraries;Prometheus exporters (e.g. node_exporter);OpenTelemetry Metric Client Libraries","OpenTelemetry Collector Prometheus receiver;OpenTelemetry Collector Prometheus remote write exporter","An open-source prometheus backend (Thanos, Cortex, Grafana Mimir, etc.)","SQL","Configured collection or routing of metrics;Created or edited a dashboard for displaying metrics;Created or edited a recording rule","3","4","Dint find istio compatibility or ingesting service mesh data","if it can have more interconnectivity like recording rules ","histogram_quantile(0.95, rate({""http.server.request.duration""}[5m]));histogram_quantile(0.95, rate(http_server_request_duration_seconds_bucket[5m]))","rate({""robot.distance.traveled""}[5m]);rate(robot_distance_traveled_millimeters_total[5m])","expr: timestamp(node_time_nanoseconds) - (1e-9 * node_time_nanoseconds) >  5","We should recommend adding units to metric names, for the reasons above, but let users decide if they should add them or not.","All dots should be changed to underscores when translating to Prometheus. That way, metric names match the format used by the rest of the Prometheus ecosystem."
"2024/05/02 7:48:47 AM AST","0-50","Technology","Dev","Expert","Expert","Expert","Expert","Somewhat familiar","Somewhat familiar","Somewhat familiar","Somewhat familiar","Prometheus Client Libraries;Prometheus exporters (e.g. node_exporter);OpenTelemetry Trace Client Libraries","OpenTelemetry Language SDK Prometheus exporters","The Prometheus Server","PromQL","Added a metric to an application;Written a live (ad-hoc) query over metrics;Created or edited a dashboard for displaying metrics;Created or edited an alert;Created or edited a recording rule","3","5","The Otel instrumentation libraries are so crazy complicated, I just want to use Prometheus' instrumentation library.","Reverse support, eg. drop in support for the Prometheus library, and do everything the way Prometheus would but be able to take advantage of ""the good parts"" of otel, which is just to say a standardized wire protocol.","histogram_quantile(0.95, rate(http_server_request_duration_seconds_bucket[5m]))","rate(robot_distance_traveled_millimeters_total[5m])","expr: timestamp({""node.time_nanoseconds""}) - (1e-9 * {""node.time_nanoseconds""}) >  5","Units should be required to be part of the metric name. Without them, it is hard to write proper queries, write or read alerts e.g. in YAML, and build dashboards.","I wish OpenTelemetry had chosen to use underscores to match Prometheus syntactic requirements, I believe this decision should be revisited, it’s worth the time and breaking existing OTel users."
"2024/05/02 7:50:16 AM AST",">1,000","gaming","Dev","Somewhat familiar","Somewhat familiar","Somewhat familiar","Somewhat familiar","Somewhat familiar","Somewhat familiar","Somewhat familiar","Somewhat familiar","Prometheus Client Libraries;Prometheus exporters (e.g. node_exporter);OpenTelemetry Trace Client Libraries","OpenTelemetry Collector Prometheus receiver;OpenTelemetry Collector Prometheus remote write exporter","The Prometheus Server;An open-source prometheus backend (Thanos, Cortex, Grafana Mimir, etc.);A Prometheus-compatible (or PromQL compatible) solution from a vendor","PromQL","Added a metric to an application;Configured collection or routing of metrics;Created or edited a dashboard for displaying metrics;Created or edited an alert","3","4","different naming conventions"," adopt the same naming convention","histogram_quantile(0.95, rate({""http.server.request.duration""}[5m]))","rate({""robot.distance.traveled""}[5m])","expr: timestamp({""node.time""}) - (1e-9 * {""node.time""}) >  5","We should recommend adding units to metric names, for the reasons above, but let users decide if they should add them or not.","I wish OpenTelemetry had chosen to use underscores to match Prometheus syntactic requirements, I believe this decision should be revisited, it’s worth the time and breaking existing OTel users."
"2024/05/02 10:48:02 AM AST",">1,000","Travel and Leisure","Platform engineering","Somewhat familiar","Somewhat familiar","Expert","Somewhat familiar","Not at all familiar","Somewhat familiar","Expert","Not at all familiar","Prometheus exporters (e.g. node_exporter);OpenTelemetry Trace Client Libraries;OpenTelemetry auto-instrumentation agents","OpenTelemetry Collector Prometheus remote write exporter","The Prometheus Server;An open-source prometheus backend (Thanos, Cortex, Grafana Mimir, etc.)","PromQL","Added a metric to an application;Configured collection or routing of metrics;Written a live (ad-hoc) query over metrics;Created or edited a dashboard for displaying metrics;Created or edited an alert","3","5","usage of Out of Order time window  as opentelemetry data are not ordered","""Pairing"" of metrics and traces to be able to debug issues","histogram_quantile(0.95, rate({""http.server.request.duration_seconds""}[5m]))","rate({""robot.distance.traveled_millimeters""}[5m])","expr: timestamp(node_time_nanoseconds) - (1e-9 * node_time_nanoseconds) >  5","We should recommend adding units to metric names, for the reasons above, but let users decide if they should add them or not.","I don’t care, but don’t break whatever the current behavior is."
"2024/05/02 11:18:01 AM AST",">1,000","Technology","Observability","Somewhat familiar","Expert","Somewhat familiar","Expert","Somewhat familiar","Somewhat familiar","Expert","Expert","Prometheus Client Libraries;Prometheus exporters (e.g. node_exporter);OpenTelemetry Metric Client Libraries;OpenTelemetry Trace Client Libraries;OpenTelemetry auto-instrumentation agents","OpenTelemetry Collector Prometheus remote write exporter","An open-source prometheus backend (Thanos, Cortex, Grafana Mimir, etc.);A backend not associated with Prometheus, not compatible with PromQL","PromQL;A vendor-specific query language (specify what under Other);Cloudwatch metrics","Added a metric to an application;Configured collection or routing of metrics;Written a live (ad-hoc) query over metrics;Created or edited a dashboard for displaying metrics","3","4","unexpected metric name modification","Prometheus to natively support opentelemetry semantic conventions","histogram_quantile(0.95, rate({""http.server.request.duration""}[5m]))","rate({""robot.distance.traveled""}[5m])","expr: timestamp(node_time) - (1e-9 * node_time) >  5","Units should generally not be added to metric names. Instead, units should be separate metadata, like the metric description. If you need to know the units for queries in alerts and dashboards, you will go look them up.","I like the dots better, and am glad OpenTelemetry chose to use them in metric names, let’s make sure dots works better in Prometheus"
"2024/05/02 2:28:34 PM AST",">1,000","Technology","Observability","Expert","Expert","Expert","Expert","Somewhat familiar","Somewhat familiar","Somewhat familiar","Somewhat familiar","Prometheus Client Libraries;Prometheus exporters (e.g. node_exporter);OpenTelemetry Trace Client Libraries","Prometheus Client OTLP export.","The Prometheus Server;An open-source prometheus backend (Thanos, Cortex, Grafana Mimir, etc.)","PromQL","Added a metric to an application;Configured collection or routing of metrics;Written a live (ad-hoc) query over metrics;Created or edited a dashboard for displaying metrics;Created or edited an alert;Created or edited a recording rule","5","5","N/A","N/A","histogram_quantile(0.95, rate(http_server_request_duration_seconds_bucket[5m]))","rate(robot_distance_traveled_millimeters_total[5m])","expr: timestamp(node_time) - (1e-9 * node_time) >  5","We should recommend adding units to metric names, for the reasons above, but let users decide if they should add them or not.","All dots should be changed to underscores when translating to Prometheus. That way, metric names match the format used by the rest of the Prometheus ecosystem."
