"Regarding the project organization, rate the following statements [I know how to get started contributing in any SIG]","Regarding the project organization, rate the following statements [The project's decision making processes are transparent]","Regarding the project organization, rate the following statements [The leadership of the SIGs I contribute to support me in my work]","Regarding the project organization, rate the following statements [I know the priorities suggested by the project leadership (TC and GC)]","Regarding the project organization, rate the following statements [It is easy for me to collaborate with other SIGs]","Regarding the project organization, rate the following statements [I find SIG virtual meetings useful]",When trying to contribute to a SIG... [I know how to contribute what I want],When trying to contribute to a SIG... [I know what proposals are likely to be accepted],When trying to contribute to a SIG... [I receive timely feedback about my contributions],When trying to contribute to a SIG... [I am ultimately able to solve problems for myself or my users],Have you ever interacted or had the need to interact with the Technical Committee or Governance Committee?,"Just to make sure, are you a maintainer of a SIG?",Does your GC liaison regularly check in with you?,I have autonomy when setting the direction of the subproject I own,About the amount of work to be done at the projects I maintain,I have interacted or had the need to interact with the Technical Committee,Rate the following statements related to the Technical Committee [The TC supports me in contributing to the project],Rate the following statements related to the Technical Committee [I understand the role the TC has in the project],Rate the following statements related to the Technical Committee [The TC selection process contributes to the success of the project],Rate the following statements related to the Governance Committee [I understand the role the GC has in the project],Rate the following statements related to the Governance Committee [The GC supports me in contributing to the project],Rate the following statements related to the Governance Committee [The GC selection process contributes to the success of the project],Do you work for an employer that financially supports you attending KubeCon + CloudNativeCon?,"I could attend a separate, dedicated OpenTelemetry contributors-only event if it happened in my region","If you have attended KubeCon + CloudNativeCon, have you participated in OpenTelemetry activities, including the OpenTelemetry Observatory, Contribfest or the maintainer track session?","Regarding the project organization, rate the following statements [I regularly attend SIG virtual meetings]","Regarding the project organization, rate the following statements [The project's decision making processes are thorough enough]"
Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Yes,Yes,No,4,"We are fully specification-compliant, but we still need to work on additional features",,Agree,Agree,Agree,Agree,Agree,Agree,"Yes, even if I am not a speaker or do booth duty",5,More than once,Agree,Agree
Agree,Disagree,Neutral,Neutral,Strongly agree,Agree,Strongly agree,Agree,Disagree,Strongly disagree,Yes,Yes,Yes,5,We are far from being specification-compliant and we lack the resources to be so,,Agree,Agree,Agree,Neutral,Neutral,Agree,"Yes, even if I am not a speaker or do booth duty",4,Once,Strongly agree,Strongly disagree
Agree,Agree,Strongly agree,Agree,Neutral,Agree,Strongly agree,Agree,Agree,Agree,Yes,No,,,,,Agree,Agree,Neutral,Agree,Agree,Neutral,"Yes, even if I am not a speaker or do booth duty",5,,Strongly agree,Agree
Agree,Neutral,Agree,Neutral,Disagree,Agree,Agree,Agree,Disagree,Neutral,No,No,,,,,,,,,,,"Yes, even if I am not a speaker or do booth duty",5,Once,Agree,Neutral
Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,No,Yes,Yes,4,We are mostly specification-compliant and have plans to reach compliance,,,,,,,,"Yes, only if I am a speaker or do booth duty",5,Once,Strongly agree,Neutral
Strongly disagree,n/a,n/a,n/a,n/a,n/a,Neutral,Strongly disagree,Agree,Agree,I don't know what these are,No,,,,,,,,,,,"No, I don't have a way to get financial support from an employer for attending KubeCon + CloudNativeCon",3,,Strongly disagree,n/a
Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,No,,,,,Agree,Agree,Agree,Agree,Agree,Neutral,"Yes, only if I am a speaker or do booth duty",1,Never,Agree,Agree
Agree,Strongly agree,Strongly agree,Disagree,Neutral,Strongly agree,Agree,Agree,Neutral,Agree,No,No,,,,,,,,,,,I am not sure or I don't know,5,Never,Strongly agree,Strongly agree
Disagree,Agree,Agree,Agree,Disagree,Neutral,Agree,Disagree,Strongly agree,n/a,Yes,No,,,,,Agree,Agree,Agree,Agree,Agree,Agree,"No, I don't have a way to get financial support from an employer for attending KubeCon + CloudNativeCon",5,,Agree,n/a
Agree,Neutral,Agree,Neutral,Neutral,Strongly agree,Agree,Neutral,Agree,n/a,No,No,,,,,,,,,,,"Yes, even if I am not a speaker or do booth duty",5,,Neutral,Agree
Strongly agree,Agree,Strongly agree,Disagree,Agree,Strongly agree,Agree,Neutral,Agree,Agree,No,Yes,No,5,All the SIGs I maintain do not do work related to the implementing the specification,,,,,,,,"Yes, even if I am not a speaker or do booth duty",5,More than once,Strongly agree,Agree
Neutral,Strongly agree,Strongly agree,Disagree,Disagree,Strongly agree,Strongly agree,Agree,Agree,Agree,No,Yes,Yes,4,We are mostly specification-compliant and have plans to reach compliance,,,,,,,,"Yes, only if I am a speaker or do booth duty",5,,Strongly agree,Strongly agree
Strongly disagree,Agree,Strongly agree,n/a,n/a,n/a,Neutral,n/a,Agree,Agree,I don't know what these are,No,,,,,,,,,,,"Yes, only if expenses are under a budget",5,,n/a,Agree
Neutral,Agree,Agree,Disagree,Neutral,Agree,Agree,Neutral,Disagree,Neutral,Yes,Yes,I didn't know this was a thing,4,All the SIGs I maintain do not do work related to the implementing the specification,,,,,,,,"Yes, even if I am not a speaker or do booth duty",1,Once,Strongly agree,Agree
Agree,Agree,Agree,Disagree,Neutral,Strongly agree,Agree,Neutral,n/a,Neutral,No,Yes,I didn't know this was a thing,4,All the SIGs I maintain do not do work related to the implementing the specification,,,,,,,,"No, I don't have a way to get financial support from an employer for attending KubeCon + CloudNativeCon",5,Never,Strongly agree,Agree
,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
Strongly agree,Neutral,Strongly agree,Disagree,Agree,Strongly agree,Strongly agree,Agree,Neutral,Agree,No,Yes,I didn't know this was a thing,4,We are far from being specification-compliant and we lack the resources to be so,,,,,,,,"Yes, even if I am not a speaker or do booth duty",5,More than once,Strongly agree,Disagree
Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Yes,No,,,,,Agree,,Agree,Agree,Agree,Agree,"Yes, only if I am a speaker or do booth duty",5,More than once,Agree,Agree
Agree,Agree,Agree,Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,Yes,Yes,No,4,We are mostly specification-compliant and have plans to reach compliance,,Agree,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,"Yes, only if I am a speaker or do booth duty",5,,Agree,Agree
Strongly disagree,Disagree,Neutral,Neutral,Disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,I don't know what these are,No,,,,,,,,,,,"No, I don't have a way to get financial support from an employer for attending KubeCon + CloudNativeCon",3,Never,Neutral,Neutral
Disagree,Neutral,n/a,Neutral,n/a,n/a,Neutral,Neutral,Neutral,Agree,No,No,,,,,,,,,,,"No, I don't have a way to get financial support from an employer for attending KubeCon + CloudNativeCon",4,,n/a,Neutral
Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,No,No,,,,,,,,,,,I am not sure or I don't know,5,,Strongly agree,Agree
Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,Yes,Yes,5,All the SIGs I maintain do not do work related to the implementing the specification,,Agree,Agree,Agree,Agree,Agree,Agree,"Yes, only if I am a speaker or do booth duty",4,More than once,Agree,Neutral
Strongly agree,Agree,n/a,Agree,Agree,Strongly disagree,Strongly agree,Agree,Disagree,Agree,Yes,No,,,,,,,,Agree,Neutral,Neutral,"Yes, only if expenses are under a budget",4,Once,Strongly disagree,Neutral
Agree,Disagree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Yes,No,,,,,Neutral,Disagree,Disagree,Agree,Agree,Agree,"Yes, only if expenses are under a budget",4,More than once,Disagree,Disagree
Neutral,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,Yes,Yes,I didn't know this was a thing,3,"We are fully specification-compliant, but we still need to work on additional features",,Agree,Agree,Agree,Agree,Agree,Agree,"No, I don't have a way to get financial support from an employer for attending KubeCon + CloudNativeCon",3,,Agree,Agree
Strongly agree,Agree,Strongly agree,Disagree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,No,No,,,,,,,,,,,"Yes, even if I am not a speaker or do booth duty",4,,Strongly agree,Agree
Strongly agree,Agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,,Yes,,5,We are mostly specification-compliant and have plans to reach compliance,,,,,,,,"Yes, only if I am a speaker or do booth duty",3,More than once,Strongly agree,Agree
Strongly agree,Agree,n/a,Agree,Neutral,Agree,,,,,No,No,,,,,,,,,,,"No, I don't have a way to get financial support from an employer for attending KubeCon + CloudNativeCon",4,More than once,,Agree
Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Agree,Neutral,Disagree,Neutral,Yes,No,,,,,Disagree,Neutral,Strongly disagree,Agree,Neutral,Agree,"Yes, even if I am not a speaker or do booth duty",3,Never,Agree,Disagree
Neutral,Neutral,n/a,Agree,n/a,Agree,Strongly agree,Agree,Disagree,Neutral,Yes,No,,,,,Agree,Strongly agree,Agree,Agree,Agree,Agree,"No, I don't have a way to get financial support from an employer for attending KubeCon + CloudNativeCon",5,Once,Strongly disagree,Neutral
Disagree,Neutral,n/a,Neutral,n/a,n/a,n/a,n/a,n/a,n/a,I don't know what these are,No,,,,,,,,,,,I am not sure or I don't know,3,Never,Strongly disagree,Neutral
Strongly agree,Agree,Strongly agree,Neutral,n/a,Agree,Strongly agree,Agree,Disagree,Agree,Yes,No,,,,,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Yes, even if I am not a speaker or do booth duty",5,More than once,Agree,Agree
Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,No,No,,,,,,,,,,,I am not sure or I don't know,2,,Agree,Agree
Neutral,Agree,Agree,Agree,n/a,Agree,Agree,Agree,Agree,Agree,No,Yes,I didn't know this was a thing,4,All the SIGs I maintain do not do work related to the implementing the specification,,,,,,,,"Yes, even if I am not a speaker or do booth duty",4,,Strongly agree,Agree
Agree,Agree,Strongly agree,Agree,Neutral,Strongly agree,Agree,Agree,Disagree,Agree,No,No,,,,,,,,,,,"Yes, only if expenses are under a budget",5,,Strongly agree,Agree
Agree,Disagree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Yes,Yes,Yes,4,"We are fully specification-compliant, but we still need to work on additional features",,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,"Yes, only if I am a speaker or do booth duty",4,More than once,Strongly agree,Strongly agree
Neutral,Neutral,Agree,Strongly disagree,n/a,Strongly agree,Agree,Agree,Disagree,Disagree,Yes,Yes,Yes,3,All the SIGs I maintain do not do work related to the implementing the specification,,Disagree,Agree,Strongly disagree,Agree,Neutral,Disagree,"Yes, even if I am not a speaker or do booth duty",2,More than once,Agree,Strongly agree
Strongly agree,Neutral,Agree,Disagree,Neutral,Strongly agree,Agree,Agree,Strongly disagree,Neutral,Yes,Yes,Yes,4,We are far from being specification-compliant and we lack the resources to be so,,Neutral,Agree,Neutral,Agree,Neutral,Neutral,"Yes, only if I am a speaker or do booth duty",5,Never,Strongly agree,Neutral
Agree,Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Yes,No,,,,,Agree,Agree,Neutral,Agree,Agree,Neutral,"Yes, even if I am not a speaker or do booth duty",,,Disagree,Disagree
n/a,Neutral,Neutral,n/a,Disagree,Neutral,Neutral,Disagree,Neutral,Agree,Yes,No,,,,,Strongly disagree,Disagree,Strongly disagree,Disagree,Neutral,Neutral,"Yes, even if I am not a speaker or do booth duty",2,More than once,Neutral,Disagree
Neutral,n/a,Neutral,Neutral,n/a,n/a,Agree,Agree,Agree,Agree,No,No,,,,,,,,,,,"Yes, only if I am a speaker or do booth duty",4,More than once,Strongly disagree,n/a
Strongly agree,Neutral,Agree,Neutral,Neutral,Agree,Strongly agree,Neutral,Agree,Agree,No,Yes,Yes,3,We are mostly specification-compliant and have plans to reach compliance,,,,,,,,I am not sure or I don't know,5,Never,Strongly agree,Agree
Neutral,Disagree,Disagree,Strongly disagree,Disagree,Neutral,Agree,Neutral,Agree,Agree,No,No,,,,,,,,,,,"Yes, only if I am a speaker or do booth duty",5,,Agree,Disagree
Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Yes,No,,,,,Agree,Neutral,Neutral,Agree,Agree,Agree,"Yes, only if I am a speaker or do booth duty",5,More than once,Agree,Agree
Disagree,Neutral,Neutral,Disagree,Neutral,Agree,Neutral,Agree,Neutral,Agree,I don't know what these are,No,,,,,,,,,,,"No, I don't have a way to get financial support from an employer for attending KubeCon + CloudNativeCon",4,Once,Strongly agree,Neutral
Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Neutral,Neutral,Yes,Yes,Yes,5,"We are fully specification-compliant, but we still need to work on additional features",,Strongly agree,Agree,,Strongly agree,Neutral,,I am not sure or I don't know,2,Once,Strongly agree,Strongly agree
Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,Yes,Yes,I didn't know this was a thing,4,"We are fully specification-compliant, but we still need to work on additional features",,Agree,Agree,Agree,Agree,Agree,Agree,"Yes, only if I am a speaker or do booth duty",4,,Strongly agree,Agree
Agree,Agree,Strongly agree,Disagree,Neutral,Agree,Neutral,Neutral,Disagree,Neutral,Yes,No,,,,,Disagree,Disagree,Disagree,Agree,Agree,Strongly agree,"Yes, only if I am a speaker or do booth duty",5,More than once,Agree,Agree
Agree,Strongly agree,Strongly agree,Agree,Neutral,Strongly agree,Agree,Neutral,Agree,Neutral,Yes,Yes,I didn't know this was a thing,4,We are mostly specification-compliant and have plans to reach compliance,,Neutral,Agree,Strongly disagree,Agree,Neutral,Agree,"Yes, only if I am a speaker or do booth duty",5,More than once,Strongly agree,Strongly agree
Strongly agree,Strongly agree,Strongly agree,Neutral,n/a,n/a,Strongly agree,Strongly agree,Neutral,Strongly agree,No,No,,,,,,,,,,,"No, I don't have a way to get financial support from an employer for attending KubeCon + CloudNativeCon",5,,Strongly disagree,Strongly agree
Agree,Agree,Neutral,Disagree,Neutral,Strongly agree,Agree,Strongly disagree,Neutral,Neutral,No,No,,,,,,,,,,,"Yes, only if I am a speaker or do booth duty",5,Never,Strongly agree,Neutral
Agree,Neutral,Agree,Agree,Neutral,Strongly agree,Agree,Agree,Neutral,Strongly agree,Yes,Yes,Yes,5,All the SIGs I maintain do not do work related to the implementing the specification,,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,"Yes, even if I am not a speaker or do booth duty",5,More than once,Strongly agree,Agree
Agree,Agree,Strongly agree,Neutral,Neutral,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Yes,Yes,I didn't know this was a thing,4,We are mostly specification-compliant and have plans to reach compliance,,Disagree,Agree,Disagree,Agree,Agree,Agree,"Yes, only if I am a speaker or do booth duty",4,More than once,Strongly agree,Agree
Agree,Neutral,n/a,Disagree,n/a,Agree,Neutral,Disagree,n/a,Agree,No,No,,,,,,,,,,,I am not sure or I don't know,4,,Agree,Agree
Agree,Agree,Agree,Disagree,Neutral,Agree,Agree,Disagree,Agree,Agree,No,No,,,,,,,,,,,"Yes, only if expenses are under a budget",5,Once,Agree,Agree
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,,,,,,,,,,,"Yes, only if expenses are under a budget",3,More than once,n/a,
Strongly disagree,Agree,n/a,n/a,Disagree,Strongly agree,Agree,Neutral,Strongly disagree,Neutral,Yes,No,,,,,Neutral,Neutral,Strongly agree,Neutral,Disagree,Strongly agree,"No, I don't have a way to get financial support from an employer for attending KubeCon + CloudNativeCon",4,Never,Neutral,Agree
Disagree,n/a,n/a,n/a,n/a,n/a,Disagree,n/a,Disagree,Agree,No,No,,,,,,,,,,,I am not sure or I don't know,2,Never,Strongly disagree,n/a
Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,No,No,,,,,,,,,,,"Yes, even if I am not a speaker or do booth duty",4,Once,Strongly agree,Neutral
Neutral,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,No,No,,,,,,,,,,,I am not sure or I don't know,4,Never,Agree,Disagree
Agree,Agree,Agree,Disagree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Yes,Yes,Yes,5,All the SIGs I maintain do not do work related to the implementing the specification,,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,"Yes, only if I am a speaker or do booth duty",4,More than once,Neutral,Agree
Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,No,No,,,,,,,,,,,"Yes, even if I am not a speaker or do booth duty",3,Once,Agree,Agree
Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,No,Yes,No,5,All the SIGs I maintain do not do work related to the implementing the specification,,,,,,,,"Yes, even if I am not a speaker or do booth duty",5,Once,Strongly agree,
Neutral,n/a,n/a,n/a,n/a,n/a,Neutral,Strongly disagree,Agree,Neutral,I don't know what these are,No,,,,,,,,,,,"Yes, only if expenses are under a budget",5,Never,n/a,n/a
Agree,Neutral,Neutral,Neutral,Neutral,n/a,Disagree,Disagree,Strongly disagree,Agree,I don't know what these are,No,,,,,,,,,,,I am not sure or I don't know,2,,Strongly disagree,Neutral
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,,,,,,,,,,,"Yes, only if I am a speaker or do booth duty",4,Never,n/a,n/a
Disagree,Strongly agree,Strongly agree,Agree,Disagree,Strongly agree,Agree,n/a,Strongly agree,Agree,I don't know what these are,No,,,,,,,,,,,"Yes, even if I am not a speaker or do booth duty",4,Once,Strongly agree,Strongly agree
Strongly agree,Strongly disagree,Strongly agree,Agree,Disagree,Agree,Strongly agree,Disagree,Neutral,Strongly agree,Yes,Yes,Yes,4,All the SIGs I maintain do not do work related to the implementing the specification,,Disagree,Strongly agree,Disagree,Strongly agree,Agree,Strongly agree,"Yes, even if I am not a speaker or do booth duty",5,More than once,Strongly agree,Disagree
Strongly agree,Agree,Strongly agree,Neutral,Agree,Agree,Agree,Strongly agree,Agree,Agree,No,Yes,I didn't know this was a thing,4,All the SIGs I maintain do not do work related to the implementing the specification,,,,,,,,"Yes, only if I am a speaker or do booth duty",4,,Strongly agree,Agree
Agree,Neutral,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Yes,Yes,5,We are mostly specification-compliant and have plans to reach compliance,,Agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,"Yes, even if I am not a speaker or do booth duty",5,Once,Strongly agree,Neutral
Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Yes,No,,,,,Agree,Disagree,Neutral,Disagree,Agree,Neutral,"Yes, only if I am a speaker or do booth duty",5,Never,Strongly agree,Agree
Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,Disagree,Neutral,Yes,No,,,,,Agree,Agree,Agree,Agree,Agree,Agree,"Yes, only if expenses are under a budget",4,,Agree,Agree
Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,Yes,Yes,4,We are mostly specification-compliant and have plans to reach compliance,,Agree,Neutral,Disagree,Agree,Strongly agree,Agree,"Yes, only if I am a speaker or do booth duty",4,More than once,Strongly agree,Agree
Agree,Agree,Neutral,Neutral,n/a,Neutral,Neutral,Disagree,Agree,Agree,No,No,,,,,,,,,,,"Yes, even if I am not a speaker or do booth duty",4,,Disagree,Neutral
Agree,Neutral,Agree,Neutral,Agree,Agree,Strongly agree,Neutral,Agree,Agree,Yes,Yes,Yes,3,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,"Yes, only if I am a speaker or do booth duty",4,More than once,Neutral,Neutral
Strongly agree,Neutral,Strongly agree,n/a,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,No,No,,,,,,,,,,,"Yes, only if I am a speaker or do booth duty",3,Never,Strongly agree,Agree
Disagree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Agree,n/a,Agree,No,No,,,,,,,,,,,"Yes, even if I am not a speaker or do booth duty",3,Never,Disagree,Neutral
Agree,n/a,n/a,n/a,n/a,n/a,Strongly agree,Disagree,Neutral,Agree,No,No,,,,,,,,,,,I am not sure or I don't know,4,Never,Strongly disagree,n/a
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,,,,,,,,,,,"Yes, even if I am not a speaker or do booth duty",5,Never,n/a,n/a
Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,Yes,Yes,5,We are far from being specification-compliant and we lack the resources to be so,,Agree,Agree,Agree,Agree,Agree,Agree,"Yes, even if I am not a speaker or do booth duty",5,Once,Agree,Agree
Agree,Strongly agree,Strongly agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Yes,Yes,Yes,4,We are mostly specification-compliant and have plans to reach compliance,,Neutral,Agree,Disagree,Agree,Agree,Agree,"Yes, only if I am a speaker or do booth duty",4,More than once,Strongly agree,Agree
Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Strongly disagree,Neutral,No,No,,,,,,,,,,,I am not sure or I don't know,4,,Agree,Disagree
Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,Yes,I didn't know this was a thing,4,"We are fully specification-compliant, but we still need to work on additional features",,,,,,,,"Yes, only if expenses are under a budget",4,Once,Strongly agree,Strongly agree
Agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,No,No,,,,,,,,,,,"Yes, only if expenses are under a budget",5,Never,Strongly agree,Strongly agree
Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Disagree,Neutral,Yes,Yes,No,5,We are mostly specification-compliant and have plans to reach compliance,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Yes, only if I am a speaker or do booth duty",4,Once,Strongly agree,Agree
Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Yes,Yes,I didn't know this was a thing,3,We are far from being specification-compliant and we lack the resources to be so,,Neutral,Agree,Neutral,Agree,Neutral,Neutral,"Yes, even if I am not a speaker or do booth duty",4,,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,I don't know what these are,No,,,,,,,,,,,"No, I don't have a way to get financial support from an employer for attending KubeCon + CloudNativeCon",3,,Disagree,Neutral
Neutral,Agree,n/a,Neutral,n/a,Agree,Neutral,Neutral,Agree,Neutral,Yes,No,,,,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,"Yes, only if expenses are under a budget",1,Never,Agree,Neutral
Disagree,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,Disagree,Agree,Agree,No,No,,,,,,,,,,,"Yes, even if I am not a speaker or do booth duty",4,,,
Neutral,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,No,No,,,,,,,,,,,"No, I don't have a way to get financial support from an employer for attending KubeCon + CloudNativeCon",4,Never,Agree,Neutral
Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Yes,Yes,Yes,5,"We are fully specification-compliant, but we still need to work on additional features",,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Yes, only if I am a speaker or do booth duty",5,More than once,Agree,Strongly agree
