Do you have any additional comments regarding project organization or your experience contributing? Is there anything you'd like to see added to or changed about the OTel contributor experience?,What kind of event would be useful for growing the project?,Is there anything you would change from this survey to make it more useful for the project?,Is there anything else you would like to add?
"In general I find it difficult to make significant contributions without attending SIG meetings. Now that there is an APAC-friendly time this is not so bad for me, but I expect there are many others who are either not able to (family commitments) or not comfortable with joining a meeting (e.g. English may not be their first language - some are much more comfortable writing/reading than speaking.)

I have raised issues and opened PRs that are not looked at until mentioned in a meeting, and this seems to be common in this project. If I had one thing I'd like to see changed, it would be to work on making SIG meetings mostly unnecessary. If someone looks at an issue/PR and decides it needs some discussion that's understandable, but it shouldn't be necessary for getting feedback in the first place.",,,
,OpenTelemetry in Clients (Web / Mobile / Desktop),,
"There's too much gatekeeping and too much emphasis on purity over practicality. New ideas and directions are sometimes actively resisted because of one person's strong objections, even when real use cases are put forth. Progress can be glacially slow.",A simulated SIG meeting to show how the system works and how you can contribute.,,
I think the collector-contrib has grown in a way that the current maintainers struggle too much to keep up with everything. I think the current rules in terms of write permissions to the repo have to be adjusted only for that repository.,I'd love to see a contribfest where maintainers help beginners get their first PR merged :),,
"- To my knowledge, there isn't a single source of truth when it comes to tracking changes. It usually involves something breaking and then trawling release notes to track down PRs and issues to understand why something was changed/refactored.

- I've heard of bad experiences when someone is attempting to propose some new functionality. It seems a big pain point is figuring out who/what SIG should be consulted with. Often someone will visit one SIG just to be told to go to another and a game of telephone ensues.

- I think this is to be expected with an open source project, but reviews can often be painfully slow and stretch weeks. Most people don't work solely on the project, so reviewing PRs isn't a priority, rightfully so. However it still doesn't negate the fact that reviews are slow and have always been the most painful part about contributing.",,,
Simplicity should become a priority,"An event focused on ""how-to""",,"My interaction has been primarily through the Java SIG and projects. I'd like to commend the maintainers and drivers of these as I've found them very open, supportive and encouraging which has made it a pleasure to be involved (despite the unavoidable ""committee style"" nature of OpenTelemetry)!"
,Local meetups,,
,Regular User Interest Group meetups,,
"Sometimes I feel like we're too through and make it difficult to experiment or get real world feedback via experimental features from users. This can result in PRs being blocked in the collector, go sig, etc. for an extended period of time.","More user feedback sessions for immediate stuff and then a long-term planning session where the GC/TC helps set goals, guidelines, etc. and allocates resources accordingly.",n/a,"great job, thank you!"
,Observability focused conferences would be great,,
"In SIGs where we have to maintain multiple repositories I'd love to see more automation.
And I wish all SIGs were more aligned with the SIG comms (not the SIG I'm part of), because the official docs should be the to-go spot for everyone trying to use OTel.

I see a lot of repos with implementation details in README files and code snippets in examples folders, this should be moved to Docs and properly structured.","I believe we need an OTel maintainer's summit, where we sit together and discuss pain points around the project and things that are happening across multiple SIGs.
Issues that one SIG is facing, may be the same issue others are seeing, or even issues that other SIGs already solved.
Having a day together would be great for fostering X-SIGs collaboration.",,
,,"There is a lot of noise in regard to Observability 1.0, 2.0. 3.0 ",
