Timestamp,How large is your engineering organization or department? ,What industry do you work in?,What type of team do you work on?,Do you work for an Observability or APM (monitoring) vendor?,Are you running OpenTelemetry in Production?,Where in your Observability journey is your organization?,Where did you get your day 1 information on getting started with OpenTelemetry? (Select all that apply),Do you use OpenTelemetry SDK directly or via vendor SDK of the languages you use?,What environments are you using the OpenTelemetry collector? (select all that apply),Which collector distribution do you use? ,What programming languages are you using with OpenTelemtery? (select all that apply),Which platforms are you running OpenTelemety on? (select all that apply),What kind of service do you regularly work on? (select all that apply),How complex was it to manually instrument your application with OpenTelemetry?,Did you encounter any issues when manually instrumenting your application?,How complex was it to get started with OpenTelemetry SDK? (skip if you don't use),Did you encounter any issues when installing OpenTelemetry SDK in your application? (select all that apply),How complex was it to get started with auto-instrumentation? (skip if you don't use),Did you encounter any issues when using auto-instrumentation in your application? (select all that apply),How complex was it to get started operating the OpenTelemetry Collector?,Did you encounter any issues when operating the OpenTelemetry Collector? (select all that apply or skip if you don't use a Collector),"What could be changed to improve the developer experience? For example:
- Installation of the SDK for the first time 
- Debugging instrumentation
- Setting up telemetry pipelines using the Collector
- Getting telemetry out of your application
- Configuring and using resource detectors
- Troubleshooting problems during SDK setup
- Configuring instrumentation
- Too difficult to adopt OpenTelemery for all signals (tracing, metrics, logs)"
12/13/2024 13:42:50,100-1000,Finance,SRE,No,No,Beginner - Learning about observability / Have used monitoring tools,"OpenTelemetry Website, Language implementation documentation page",Official OpenTelemetry SDK,"Local, Test/Staging",AWS ADOT,"Go, Java, Python","Kubernetes, AWS, AWS serverless environments (Lambda, Fargate, etc.)",Mobile,4,Configuring logging bridge,3,"Documentation was unclear, Configuring SDK, Debugging, Exporting data",4,No auto-instrumentation available for Go,3,Using OpenTelemetry Collector Transforming Language (OTTL),"Lack of proper and efficient Lambda Layers for auto instrumentation, especially on Go"
12/13/2024 13:43:34,50-100,Healthcare,Platform Engineering,No,Yes,Beginner - Learning about observability / Have used monitoring tools,"OpenTelemetry Website, CNCF, JUG meetup, open source community",Vendor OpenTelemetry SDK,Production,AWS ADOT,Java,AWS,"Mobile, Browser, Backend, Operations/Infrastructure",2,Documentation could be more clear. Also better and simpler examples,3,"Documentation was unclear, Installing instrumentation libraries and plugins, Debugging",1,"For most of the cases it worked, but it didn’t work it was not easy to find why",,,Reference architecture examples for various cases with standard frameworks and Youtube screencasts would be great additions to get started
12/13/2024 15:45:49,0-50,Technology,Platform Engineering,No,No,Beginner - Learning about observability / Have used monitoring tools,Language implementation documentation page,I don’t know,We don’t use the OpenTelemetry collector,No OpenTelemetry collector,"Go, Java, Javascript/Typescript","Kubernetes, Azure, GCP, Bare metal","Browser, Backend, Operations/Infrastructure",5,Documentation was unclear,5,Too many steps required,5,"Documentation was unclear, Too many steps required, Disabling specific instrumentation libraries, Configuring SDK, Installing plugins, Debugging, Exporting data",5 (very difficult),"Documentation was unclear, Configuring the receivers, Configuring the processors, Configuring the connectors, Configuring the extensions, Configuring to export to vendor, Using OpenTelemetry Collector Transforming Language (OTTL)","Installation of the SDK for the first time 

- Debugging instrumentation

- Setting up telemetry pipelines using the Collector

- Getting telemetry out of your application

- Configuring and using resource detectors

- Troubleshooting problems during SDK setup

- Configuring instrumentation

- Too difficult to adopt OpenTelemery for all signals (tracing, metrics, logs)"
12/13/2024 16:19:54,100-1000,Technology,Developer,No,Yes,Expert - We have a well-established Observability practice,"OpenTelemetry Website, GitHub",Official OpenTelemetry SDK,"Local, Test/Staging, Production",Custom build (ocb),".NET, Go",AWS,"Backend, Operations/Infrastructure",1,Configuring resource detectors,2,Debugging,,Disabling specific instrumentation libraries,2,"Configuring the connectors, Using OpenTelemetry Collector Transforming Language (OTTL)","* Prioritizing OpAmp, enables it to be used in production with very less custom code to manage org wide configuration.

* Stabalize Logs exporter (Datadog)"
12/13/2024 17:10:29,0-50,Technology,Platform Engineering,No,Yes,Beginner - Learning about observability / Have used monitoring tools,OpenTelemetry Website,I don’t know,"Local, Test/Staging, Production",OTel Collector-k8s (otel/opentelemetry-collector-k8s),Go,Kubernetes,"Backend, Operations/Infrastructure",3,Using Metrics API,1,Documentation was unclear,,Documentation was unclear,1 (very easy),Configuring the receivers,not sure how to setup custom pod label export for the k8s helm chart for the file exporter for container logs
12/13/2024 17:48:07,100-1000,Healthcare,DevOps,No,Yes,Intermediate - We are setting up an Observability practice,"Language implementation documentation page, GitHub",Official OpenTelemetry SDK,"Local, Test/Staging, Production",OTel Collector-contrib (otel/opentelemetry-collector-contrib),".NET, Javascript/Typescript","Kubernetes, VMs","Mobile, Browser, Backend",3,Context Propagation,3,"Documentation was unclear, Too many steps required, Debugging",,Not using,3,"Configuring the processors, Using OpenTelemetry Collector Transforming Language (OTTL)",.NET is missing metrics docs. Maturity of otel collector  components have been challeging. 
12/13/2024 18:48:48,50-100,Finance,Platform Engineering,No,Yes,Intermediate - We are setting up an Observability practice,"OpenTelemetry Website, Language implementation documentation page",Official OpenTelemetry SDK,Production,OTel Collector-contrib (otel/opentelemetry-collector-contrib),".NET, Java, Javascript/Typescript","Kubernetes, AWS","Browser, Backend",2,Context Propagation,4,"Debugging, Exporting data",1,Debugging,5 (very difficult),"Configuring the receivers, Configuring the processors",Debugging configuring the otel setup.
12/13/2024 19:14:09,100-1000,Technology,SRE,No,Yes,Expert - We have a well-established Observability practice,"OpenTelemetry Website, GitHub",Official OpenTelemetry SDK,"Local, Test/Staging, Production",OTel Collector-contrib (otel/opentelemetry-collector-contrib),Python,"Kubernetes, GCP",Operations/Infrastructure,5,Documentation was unclear,5,Documentation was unclear,5,Documentation was unclear,5 (very difficult),Documentation was unclear,Better Documentation
12/13/2024 19:47:48,0-50,Technology,Developer,No,Yes,Intermediate - We are setting up an Observability practice,"OpenTelemetry Website, Language implementation documentation page, GitHub",I don’t know,Local,OTel Collector core (otel/opentelemetry-collector),Swift,Kubernetes,"Mobile, Browser, Backend, Operations/Infrastructure",3,No,2,Names of all the relevant classes were confusing ,1,No,1 (very easy),No issues,First time setup and config of exporters etc
12/13/2024 19:59:20,100-1000,Technology,Observability,Yes,Yes,Intermediate - We are setting up an Observability practice,OpenTelemetry Website,Official OpenTelemetry SDK,Production,OTel Collector core (otel/opentelemetry-collector),"Go, Javascript/Typescript, Ruby","Kubernetes, AWS",Backend,5,I’ve hit almost all of these and more ,4,"Documentation was unclear, Too many steps required, Configuring SDK, Installing instrumentation libraries and plugins, Debugging, The happy path experience (auto instrument and then send OTLP to a vendor) is really bad",4,Poor defaults would leak SQL statements with arguments,3,,"Make the happy path easier. Work with library, language, framework, authors to build in the otel-api. Work with platforms to make OTLP streams first-class. Better local tooling like otel-desktop-viewer, otel-cli. I can pipe logs to a file. I should be able to pipe telemetry into something that lets me visualize and explore it. Don’t make me run docker containers or figure out what a jaeger is. Make a VS Code extension. Give me a native app."
12/13/2024 20:18:41,>1000,Technology,Observability,No,Yes,Intermediate - We are setting up an Observability practice,"OpenTelemetry Website, GitHub",Official OpenTelemetry SDK,Production,Custom build (ocb),".NET, Go, Javascript/Typescript, Ruby, Rust","Kubernetes, VMs","Backend, Operations/Infrastructure",3,Enriching auto-generated telemetry,5,"Too many steps required, Configuring SDK, Installing instrumentation libraries and plugins",,Documentation was unclear,1 (very easy),"Documentation was unclear, Configuring the receivers, Configuring the processors, Configuring the connectors, Using OpenTelemetry Collector Transforming Language (OTTL)",We started pretty early on when there wasn’t much available in terms of bootstrapping the SDK. In Golang e.g. we needed to write a hub CJ of boilerplate code to bootstrap the SDK and ended up building a wrapper library. Our users found the API too complicated to use and would make common errors like not sharing the context properly. The code to instrument is very verbose and “gets in the way” of your domain logic. It’s also seemingly impossible to tune the SDK. We don’t know if we’re dropping data or overflowing the buffer without staring at diagnostic logs. We’ve avoided adoption OTel Metrics until the API stabilized but I think we find it extremely complicated compared to statsd. The Tracing API is also just different enough from more familiar log or event style APIs. It adds more mental overhead by disambiguating something that is effectively a structured event with some attributes. Verbosity in semantic conventions has also been challenging. The guidance around using our own company domains for namespaces makes it verbose and adds a lot of overhead to payloads as we push them around the network. It’s a tough trade off from having structured Any types that we could include in messages. I know that these are non trivial problems but i think there are some opportunities to simplify things for OTel 2.0
12/13/2024 23:52:07,100-1000,Finance,Observability,No,Yes,Intermediate - We are setting up an Observability practice,OpenTelemetry Website,Official OpenTelemetry SDK,Production,OTel Collector-k8s (otel/opentelemetry-collector-k8s),"Python, Kotlin","Kubernetes, AWS",Operations/Infrastructure,3,Context Propagation,3,"Documentation was unclear, Debugging",3,"Documentation was unclear, Too many steps required, Configuring SDK",1 (very easy),No issues,Manual span instrumentation to enrich traces  and context propagation.
12/14/2024 1:22:07,0-50,Technology,Platform Engineering,No,Yes,Intermediate - We are setting up an Observability practice,OpenTelemetry Website,Official OpenTelemetry SDK,"Local, Test/Staging, Production",OTel Collector-contrib (otel/opentelemetry-collector-contrib),"Java, Javascript/Typescript, Python",AWS,"Browser, Backend",3,Configuring logging bridge,4,"Configuring SDK, Debugging",2,No,2,No issues,Hands-on tutorials
12/14/2024 11:55:47,100-1000,Technology,Platform Engineering,No,Yes,Intermediate - We are setting up an Observability practice,"OpenTelemetry Website, Language implementation documentation page, GitHub",Official OpenTelemetry SDK,"Test/Staging, Production",OTel Collector-contrib (otel/opentelemetry-collector-contrib),"C++, Go, Javascript/Typescript",Kubernetes,"Backend, Operations/Infrastructure",4,Documentation was unclear,4,"Documentation was unclear, Too many steps required, Configuring SDK, Installing instrumentation libraries and plugins, Debugging, Exporting data",3,"Disabling specific instrumentation libraries, Configuring SDK, Debugging",3,Documentation was unclear,I love OTel. I understand that the surface area is quite big. It's going to get better eventually. Thanks for all the hard work.
12/14/2024 14:39:59,0-50,Technology,DevOps,No,Yes,Intermediate - We are setting up an Observability practice,"OpenTelemetry Website, Vendor documentation",Vendor OpenTelemetry SDK,"Test/Staging, Production",OTel Collector-contrib (otel/opentelemetry-collector-contrib),"Javascript/Typescript, Python","AWS, AWS serverless environments (Lambda, Fargate, etc.)","Browser, Backend, Operations/Infrastructure",4,Context Propagation,4,"Installing instrumentation libraries and plugins, Exporting data",3,"Too many steps required, Disabling specific instrumentation libraries, Installing instrumentation libraries, Debugging, Exporting data, Sending too many spans",3,"Configuring the processors, Using OpenTelemetry Collector Transforming Language (OTTL)",Be more like Sentry. Don’t make the collector be a requirement to filter data. Make it easier to do tail sampling without the collector.
12/14/2024 16:39:00,50-100,Technology,Developer,No,No,Beginner - Learning about observability / Have used monitoring tools,"OpenTelemetry Website, Language implementation documentation page",Official OpenTelemetry SDK,"Local, Test/Staging, Production",OTel Collector-contrib (otel/opentelemetry-collector-contrib),Python,Kubernetes,"Backend, Operations/Infrastructure",2,Documentation was unclear,3,Documentation was unclear,2,"Documentation was unclear, Debugging",1 (very easy),No issues,"Better documentation, especially for logs in Python."
12/15/2024 4:16:27,>1000,Media,DevOps,No,Yes,Expert - We have a well-established Observability practice,"OpenTelemetry Website, GitHub, Vendor documentation",Custom OpenTelemetry SDK,We don’t use the OpenTelemetry collector,Custom build (ocb),"Erlang/Elixir, Go, Java, Javascript/Typescript, PHP","Kubernetes, AWS, AWS serverless environments (Lambda, Fargate, etc.), VMs, Bare metal","Mobile, Browser, Backend, Operations/Infrastructure",4,Documentation was unclear,4,"Documentation was unclear, Configuring SDK, Installing instrumentation libraries and plugins, Debugging, Exporting data, no support for syslogs",5,"Configuring SDK, Installing instrumentation libraries",5 (very difficult),"Documentation was unclear, Configuring the connectors, too many assumptions and undocumented defaults/opinions",documentation and cleaner clients
12/15/2024 5:28:52,>1000,Technology,DevOps,No,No,Beginner - Learning about observability / Have used monitoring tools,"GitHub, Vendor documentation",Official OpenTelemetry SDK,Local,OTel Collector-k8s (otel/opentelemetry-collector-k8s),Go,"Kubernetes, AWS",Backend,3,Using Metrics API,3,Installing instrumentation libraries and plugins,3,Disabling specific instrumentation libraries,3,"Configuring the connectors, Configuring the extensions, Configuring to export to vendor, Using OpenTelemetry Collector Transforming Language (OTTL)",NA
12/15/2024 7:03:44,0-50,Finance,Platform Engineering,No,Yes,Intermediate - We are setting up an Observability practice,OpenTelemetry Website,Official OpenTelemetry SDK,"Local, Test/Staging, Production",OTel Collector-contrib (otel/opentelemetry-collector-contrib),"Go, Julia, Python",AWS,"Backend, Operations/Infrastructure",4,Enriching auto-generated telemetry,4,"Configuring SDK, Exporting data",4,Configuring SDK,5 (very difficult),Configuring the receivers,"The collector was difficult to configure and application libraries gave cryptic errors on connecting with agents.
Fixing issues took days and just throwing things against the wall until they stuck..
Things were difficult to debug.
Julia was not well supported "
12/15/2024 12:37:48,0-50,Technology,Developer,No,Yes,Intermediate - We are setting up an Observability practice,"Language implementation documentation page, blogs, talks",Official OpenTelemetry SDK,We don’t use the OpenTelemetry collector,Azure,".NET, Java, Javascript/Typescript","Azure serverless environments (Functions, Azure Container Apps, etc.)","Browser, Backend",4,Documentation was unclear,4,"Documentation was unclear, Configuring SDK, Installing instrumentation libraries and plugins",3,"Configuring SDK, Debugging",,,Autodiscovery of collectors
12/15/2024 21:53:41,100-1000,Technology,SRE,No,Yes,Intermediate - We are setting up an Observability practice,"OpenTelemetry Website, Language implementation documentation page",Custom OpenTelemetry SDK,"Test/Staging, Production",OTel Collector-contrib (otel/opentelemetry-collector-contrib),"Go, Java, Swift, Scala",Kubernetes,"Backend, Operations/Infrastructure",2,Enriching auto-generated telemetry,3,Debugging,1,No,1 (very easy),No issues,"Too difficult to adopt OpenTelemery for all signals (tracing, metrics, logs)"
12/15/2024 22:28:04,50-100,Finance,Observability,Yes,Yes,Intermediate - We are setting up an Observability practice,GitHub,Official OpenTelemetry SDK,Test/Staging,AWS ADOT,Python,"AWS serverless environments (Lambda, Fargate, etc.)",Backend,2,Using Tracing API,1,Installing instrumentation libraries and plugins,2,Disabling specific instrumentation libraries,1 (very easy),Configuring the processors,First Time is hard
12/16/2024 1:16:36,>1000,Technology,Developer,No,Yes,Intermediate - We are setting up an Observability practice,"OpenTelemetry Website, Language implementation documentation page, GitHub",Custom OpenTelemetry SDK,Local,OTel Collector-contrib (otel/opentelemetry-collector-contrib),Swift,Kubernetes,"Backend, Operations/Infrastructure",2,Context Propagation,3,Configuring SDK,,Too many steps required,2,"Configuring the processors, Configuring the connectors",More tools and examples
12/16/2024 2:03:45,>1000,Technology,Observability,Yes,Yes,Expert - We have a well-established Observability practice,GitHub,Official OpenTelemetry SDK,"Test/Staging, Production",Custom build (ocb),"Go, Ruby",VMs,Backend,2,Documentation was unclear,3,"Configuring SDK, Installing instrumentation libraries and plugins",3,"Too many steps required, Disabling specific instrumentation libraries, Configuring SDK, Debugging",3,,N/A
12/16/2024 3:43:09,100-1000,Finance,Developer,Yes,Yes,Expert - We have a well-established Observability practice,"OpenTelemetry Website, GitHub",Official OpenTelemetry SDK,"Local, Test/Staging, Production",OTel Collector core (otel/opentelemetry-collector),".NET, Javascript/Typescript","AWS, AWS serverless environments (Lambda, Fargate, etc.)","Mobile, Browser, Backend",3,Documentation was unclear,4,"Documentation was unclear, Configuring SDK, Installing instrumentation libraries and plugins, Debugging",2,"Documentation was unclear, Configuring SDK, Debugging",,,Documentation for languages and plugins in those languages 
12/16/2024 8:14:56,0-50,Technology,Developer,No,Yes,Intermediate - We are setting up an Observability practice,"OpenTelemetry Website, Language implementation documentation page, GitHub",Vendor OpenTelemetry SDK,"Local, Test/Staging",OTel Collector core (otel/opentelemetry-collector),Swift,"Kubernetes, Bare metal",Backend,2,Configuring resource detectors,3,Configuring SDK,,n/a,2,Configuring to export to vendor, 
12/16/2024 13:13:45,100-1000,Media,Developer,No,Yes,Expert - We have a well-established Observability practice,Vendor documentation,Official OpenTelemetry SDK,We don’t use the OpenTelemetry collector,No OpenTelemetry collector,"C++, Java, Javascript/Typescript, Python, Rust","AWS, AWS serverless environments (Lambda, Fargate, etc.)","Browser, Backend, Operations/Infrastructure",4,"Documentation was unclear, Enriching auto-generated telemetry, Context Propagation, Using Tracing API",4,"Documentation was unclear, Too many steps required, Configuring SDK, Installing instrumentation libraries and plugins, Debugging, Exporting data",3,"Documentation was unclear, Too many steps required, Disabling specific instrumentation libraries, Installing instrumentation libraries, Debugging, Exporting data",,,"It has improved a lot from when we started 2.5 years ago but the survey was asking about our first experiences. Newbies on my team still find tracing non-intuitive at a detailed level. There's a lot of terminology to learn before you can make effective progress. I'm interested to see what happens in the Rust project with the potential to make tokio-tracing the API over the otel SDK. This feels like a good move to use a familiar and widely-used crate but change the back-end. If this works perhaps, it will spread to other languages. ... We had a hard time getting distributed tracing working with event driven serverless architectures in AWS. Again, probably improved now, but we have written our own wrappers to embed the traceparent in various messaging and queuing services - you don't get this out of the box. ... The greatest challenge now is improving the quality of the tracing. Making use of Semantic Conventions and creating internal company-wide Semantic Attribute libraries for consistency across microservices and product-groups."
12/16/2024 13:55:11,0-50,Technology,Developer,No,Yes,Intermediate - We are setting up an Observability practice,blogs,Official OpenTelemetry SDK,Production,honeycomb,Erlang/Elixir,fly ,Backend,5,"Documentation was unclear, Enriching auto-generated telemetry, Context Propagation, Using Tracing API, Using Metrics API, Configuring logging bridge, Configuring resource detectors",5,"Documentation was unclear, Too many steps required, Configuring SDK, Installing instrumentation libraries and plugins, Debugging, Exporting data",4,"Documentation was unclear, Too many steps required, Disabling specific instrumentation libraries, Configuring SDK, Installing instrumentation libraries, Installing plugins, Debugging",1 (very easy),,"A better SDK, with better docs, and a simple configuration"
12/16/2024 14:00:47,0-50,Technology,Developer,Yes,Yes,Intermediate - We are setting up an Observability practice,OpenTelemetry Website,Official OpenTelemetry SDK,Local,OTel Collector core (otel/opentelemetry-collector),"Go, Javascript/Typescript, Python","AWS serverless environments (Lambda, Fargate, etc.), GCP serverless environment (Cloud Run Functions, etc.)","Browser, Backend",3,"Documentation was unclear, Context Propagation",4,Documentation was unclear,2,Documentation was unclear,1 (very easy),No issues,Configuring instrumentation
